Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;18-06-2020 23-13-28;VARIANT_B;4935453316
1;18-06-2020 23-13-31;VARIANT_B;3179755885
2;18-06-2020 23-13-34;VARIANT_B;2453154581
3;18-06-2020 23-13-37;VARIANT_B;3310080833
4;18-06-2020 23-13-40;VARIANT_B;2474969168
5;18-06-2020 23-13-42;VARIANT_B;2220845228
6;18-06-2020 23-13-45;VARIANT_B;2241652811
7;18-06-2020 23-13-47;VARIANT_B;2181581780
8;18-06-2020 23-13-50;VARIANT_B;2422125354
9;18-06-2020 23-13-52;VARIANT_B;2430384438
10;18-06-2020 23-13-54;VARIANT_B;2228441982
11;18-06-2020 23-13-57;VARIANT_B;2202001651
12;18-06-2020 23-13-59;VARIANT_B;2223410442
13;18-06-2020 23-14-02;VARIANT_B;2245677333
14;18-06-2020 23-14-04;VARIANT_B;2232753945
15;18-06-2020 23-14-06;VARIANT_B;2152408566
16;18-06-2020 23-14-08;VARIANT_B;2028880277
17;18-06-2020 23-14-11;VARIANT_B;2162844895
18;18-06-2020 23-14-13;VARIANT_B;2202595237
19;18-06-2020 23-14-15;VARIANT_B;2202503688
20;18-06-2020 23-14-18;VARIANT_B;2201213168
21;18-06-2020 23-14-20;VARIANT_B;2185469813
22;18-06-2020 23-14-22;VARIANT_B;2177506116
23;18-06-2020 23-14-25;VARIANT_B;2466278870
24;18-06-2020 23-14-27;VARIANT_B;2248450839
25;18-06-2020 23-14-30;VARIANT_B;2223782245
26;18-06-2020 23-14-32;VARIANT_B;2270001686
27;18-06-2020 23-14-34;VARIANT_B;2228213864
28;18-06-2020 23-14-37;VARIANT_B;2251704964
29;18-06-2020 23-14-39;VARIANT_B;2205941570
30;18-06-2020 23-14-41;VARIANT_B;2160709018
31;18-06-2020 23-14-44;VARIANT_B;2211100406
32;18-06-2020 23-14-46;VARIANT_B;2220069872
33;18-06-2020 23-14-48;VARIANT_B;2248942504
34;18-06-2020 23-14-51;VARIANT_B;2237591225
35;18-06-2020 23-14-53;VARIANT_B;2297787778
36;18-06-2020 23-14-56;VARIANT_B;2215827387
37;18-06-2020 23-14-58;VARIANT_B;2240184444
