Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;18-06-2020 23-20-23;VARIANT_B;25359399185
1;18-06-2020 23-20-49;VARIANT_B;25397596586
2;18-06-2020 23-21-14;VARIANT_B;25360817025
3;18-06-2020 23-21-40;VARIANT_B;25457822133
4;18-06-2020 23-22-05;VARIANT_B;25048047975
5;18-06-2020 23-22-30;VARIANT_B;25011278317
6;18-06-2020 23-22-55;VARIANT_B;24113249274
7;18-06-2020 23-23-20;VARIANT_B;24866738241
8;18-06-2020 23-23-45;VARIANT_B;25640454418
9;18-06-2020 23-24-11;VARIANT_B;25288403039
10;18-06-2020 23-24-36;VARIANT_B;24965840411
11;18-06-2020 23-25-01;VARIANT_B;25094339788
12;18-06-2020 23-25-26;VARIANT_B;24586954559
13;18-06-2020 23-25-51;VARIANT_B;24691006234
14;18-06-2020 23-26-16;VARIANT_B;24611578494
15;18-06-2020 23-26-40;VARIANT_B;24345825807
16;18-06-2020 23-27-05;VARIANT_B;24305977415
17;18-06-2020 23-27-29;VARIANT_B;24544010933
18;18-06-2020 23-27-54;VARIANT_B;24375656687
19;18-06-2020 23-28-19;VARIANT_B;24707997066
20;18-06-2020 23-28-43;VARIANT_B;24307181010
21;18-06-2020 23-29-07;VARIANT_B;24090530556
22;18-06-2020 23-29-32;VARIANT_B;24375449633
23;18-06-2020 23-29-56;VARIANT_B;24308711003
24;18-06-2020 23-30-21;VARIANT_B;24227588030
25;18-06-2020 23-30-45;VARIANT_B;24280925298
26;18-06-2020 23-31-09;VARIANT_B;24267777451
27;18-06-2020 23-31-34;VARIANT_B;24105107179
28;18-06-2020 23-31-58;VARIANT_B;24604465448
29;18-06-2020 23-32-23;VARIANT_B;24598084837
30;18-06-2020 23-32-48;VARIANT_B;24583325429
31;18-06-2020 23-33-13;VARIANT_B;24566263677
32;18-06-2020 23-33-37;VARIANT_B;24466720271
33;18-06-2020 23-34-02;VARIANT_B;24575922185
34;18-06-2020 23-34-27;VARIANT_B;24543879036
35;18-06-2020 23-34-52;VARIANT_B;24508617654
36;18-06-2020 23-35-17;VARIANT_B;24513804532
37;18-06-2020 23-35-41;VARIANT_B;24465014187
38;18-06-2020 23-36-06;VARIANT_B;24333862427
39;18-06-2020 23-36-30;VARIANT_B;24107973398
40;18-06-2020 23-36-54;VARIANT_B;24267726072
41;18-06-2020 23-37-19;VARIANT_B;24167025423
42;18-06-2020 23-37-43;VARIANT_B;23774118935
43;18-06-2020 23-38-07;VARIANT_B;24049769072
44;18-06-2020 23-38-31;VARIANT_B;24041804000
45;18-06-2020 23-38-55;VARIANT_B;23617267666
46;18-06-2020 23-39-19;VARIANT_B;23960284800
47;18-06-2020 23-39-44;VARIANT_B;25023192430
48;18-06-2020 23-40-08;VARIANT_B;24086463810
49;18-06-2020 23-40-32;VARIANT_B;23963364460
50;18-06-2020 23-40-56;VARIANT_B;23918346561
51;18-06-2020 23-41-21;VARIANT_B;23920234401
52;18-06-2020 23-41-45;VARIANT_B;24264062128
53;18-06-2020 23-42-09;VARIANT_B;23808460640
54;18-06-2020 23-42-33;VARIANT_B;23919070696
55;18-06-2020 23-42-57;VARIANT_B;24172266128
56;18-06-2020 23-43-21;VARIANT_B;23989105881
57;18-06-2020 23-43-45;VARIANT_B;23901146506
58;18-06-2020 23-44-10;VARIANT_B;23935317141
59;18-06-2020 23-44-33;VARIANT_B;23809965907
60;18-06-2020 23-44-58;VARIANT_B;24073010450
61;18-06-2020 23-45-22;VARIANT_B;24106263950
62;18-06-2020 23-45-46;VARIANT_B;24174073190
63;18-06-2020 23-46-10;VARIANT_B;23300670221
64;18-06-2020 23-46-34;VARIANT_B;24289068871
65;18-06-2020 23-46-58;VARIANT_B;24124966406
66;18-06-2020 23-47-22;VARIANT_B;23917236583
67;18-06-2020 23-47-46;VARIANT_B;23720971711
68;18-06-2020 23-48-14;VARIANT_B;27412380690
69;18-06-2020 23-48-41;VARIANT_B;27264435068
70;18-06-2020 23-49-08;VARIANT_B;26252930370
71;18-06-2020 23-49-33;VARIANT_B;24812997430
72;18-06-2020 23-49-58;VARIANT_B;24983131801
73;18-06-2020 23-50-23;VARIANT_B;24761784777
74;18-06-2020 23-50-48;VARIANT_B;25016502366
75;18-06-2020 23-51-13;VARIANT_B;25242133250
76;18-06-2020 23-51-39;VARIANT_B;25015370947
77;18-06-2020 23-52-04;VARIANT_B;24786294063
78;18-06-2020 23-52-28;VARIANT_B;24801206481
79;18-06-2020 23-52-53;VARIANT_B;24769182457
80;18-06-2020 23-53-18;VARIANT_B;24729410384
81;18-06-2020 23-53-43;VARIANT_B;24615805461
82;18-06-2020 23-54-08;VARIANT_B;24565247258
83;18-06-2020 23-54-33;VARIANT_B;24685704658
84;18-06-2020 23-54-57;VARIANT_B;24719503272
85;18-06-2020 23-55-23;VARIANT_B;25157540342
86;18-06-2020 23-55-48;VARIANT_B;24855550635
87;18-06-2020 23-56-13;VARIANT_B;24775343225
88;18-06-2020 23-56-38;VARIANT_B;25130967383
89;18-06-2020 23-57-03;VARIANT_B;24907830816
90;18-06-2020 23-57-28;VARIANT_B;24982129879
91;18-06-2020 23-57-54;VARIANT_B;25263051560
92;18-06-2020 23-58-19;VARIANT_B;24901497583
93;18-06-2020 23-58-44;VARIANT_B;24992116489
94;18-06-2020 23-59-09;VARIANT_B;25044641843
95;18-06-2020 23-59-34;VARIANT_B;24942404881
96;18-06-2020 23-59-59;VARIANT_B;24996519350
97;19-06-2020 00-00-24;VARIANT_B;24858840862
98;19-06-2020 00-00-50;VARIANT_B;25483696097
