Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;19-06-2020 11-25-43;VARIANT_B;5883187736
1;19-06-2020 11-25-48;VARIANT_B;4973823910
2;19-06-2020 11-25-53;VARIANT_B;4546757880
3;19-06-2020 11-25-58;VARIANT_B;4617180931
4;19-06-2020 11-26-03;VARIANT_B;4703689199
5;19-06-2020 11-26-07;VARIANT_B;4674173984
6;19-06-2020 11-26-12;VARIANT_B;4461744524
7;19-06-2020 11-26-17;VARIANT_B;4481214292
8;19-06-2020 11-26-22;VARIANT_B;4699929277
9;19-06-2020 11-26-26;VARIANT_B;4565408161
10;19-06-2020 11-26-31;VARIANT_B;4625417609
11;19-06-2020 11-26-36;VARIANT_B;4619468876
12;19-06-2020 11-26-40;VARIANT_B;4589743648
13;19-06-2020 11-26-45;VARIANT_B;4506903806
14;19-06-2020 11-26-50;VARIANT_B;4564171991
15;19-06-2020 11-26-55;VARIANT_B;4571244384
16;19-06-2020 11-26-59;VARIANT_B;4598229889
17;19-06-2020 11-27-04;VARIANT_B;4558825212
18;19-06-2020 11-27-09;VARIANT_B;4650176793
19;19-06-2020 11-27-13;VARIANT_B;4646483952
20;19-06-2020 11-27-18;VARIANT_B;4376985955
21;19-06-2020 11-27-23;VARIANT_B;4532126881
22;19-06-2020 11-27-27;VARIANT_B;4505877533
23;19-06-2020 11-27-32;VARIANT_B;4530853235
24;19-06-2020 11-27-37;VARIANT_B;4453952514
25;19-06-2020 11-27-41;VARIANT_B;4412663402
26;19-06-2020 11-27-46;VARIANT_B;4510260783
27;19-06-2020 11-27-50;VARIANT_B;4477796372
28;19-06-2020 11-27-55;VARIANT_B;4511064004
29;19-06-2020 11-28-00;VARIANT_B;4530690339
30;19-06-2020 11-28-04;VARIANT_B;4451993164
31;19-06-2020 11-28-09;VARIANT_B;4471783664
32;19-06-2020 11-28-14;VARIANT_B;4530978860
33;19-06-2020 11-28-18;VARIANT_B;4454229549
34;19-06-2020 11-28-23;VARIANT_B;4461521114
35;19-06-2020 11-28-27;VARIANT_B;4589884776
36;19-06-2020 11-28-32;VARIANT_B;4473057813
37;19-06-2020 11-28-37;VARIANT_B;4433321277
38;19-06-2020 11-28-41;VARIANT_B;4550421146
39;19-06-2020 11-28-46;VARIANT_B;4390739560
40;19-06-2020 11-28-50;VARIANT_B;4475735419
41;19-06-2020 11-28-55;VARIANT_B;4459489327
42;19-06-2020 11-29-00;VARIANT_B;4374693329
43;19-06-2020 11-29-04;VARIANT_B;4491832042
44;19-06-2020 11-29-09;VARIANT_B;4479362799
45;19-06-2020 11-29-13;VARIANT_B;4522653373
46;19-06-2020 11-29-18;VARIANT_B;4513819424
47;19-06-2020 11-29-23;VARIANT_B;4370373635
48;19-06-2020 11-29-27;VARIANT_B;4417987675
49;19-06-2020 11-29-32;VARIANT_B;4471066074
50;19-06-2020 11-29-36;VARIANT_B;4534834816
51;19-06-2020 11-29-41;VARIANT_B;4497459844
52;19-06-2020 11-29-46;VARIANT_B;4494670059
53;19-06-2020 11-29-50;VARIANT_B;4509561688
54;19-06-2020 11-29-55;VARIANT_B;4568569202
55;19-06-2020 11-30-00;VARIANT_B;4447227512
56;19-06-2020 11-30-04;VARIANT_B;4546616656
57;19-06-2020 11-30-09;VARIANT_B;4354194185
58;19-06-2020 11-30-13;VARIANT_B;4413336038
59;19-06-2020 11-30-18;VARIANT_B;4364707287
60;19-06-2020 11-30-22;VARIANT_B;4444328131
61;19-06-2020 11-30-27;VARIANT_B;4451297053
62;19-06-2020 11-30-31;VARIANT_B;4429312695
63;19-06-2020 11-30-36;VARIANT_B;4484982418
64;19-06-2020 11-30-41;VARIANT_B;4513997185
65;19-06-2020 11-30-45;VARIANT_B;4471614113
66;19-06-2020 11-30-50;VARIANT_B;4528095084
67;19-06-2020 11-30-55;VARIANT_B;4393995844
68;19-06-2020 11-30-59;VARIANT_B;4453531801
69;19-06-2020 11-31-04;VARIANT_B;4563500621
70;19-06-2020 11-31-08;VARIANT_B;4498869803
71;19-06-2020 11-31-13;VARIANT_B;4393396610
72;19-06-2020 11-31-17;VARIANT_B;4370523943
73;19-06-2020 11-31-22;VARIANT_B;4493939943
74;19-06-2020 11-31-27;VARIANT_B;4470358193
75;19-06-2020 11-31-31;VARIANT_B;4493937370
76;19-06-2020 11-31-36;VARIANT_B;4477784003
77;19-06-2020 11-31-40;VARIANT_B;4361890208
78;19-06-2020 11-31-45;VARIANT_B;4505116435
79;19-06-2020 11-31-50;VARIANT_B;4468386628
80;19-06-2020 11-31-54;VARIANT_B;4486411813
81;19-06-2020 11-31-59;VARIANT_B;4408965734
82;19-06-2020 11-32-03;VARIANT_B;4305968540
83;19-06-2020 11-32-08;VARIANT_B;4511412397
84;19-06-2020 11-32-13;VARIANT_B;4483832850
85;19-06-2020 11-32-17;VARIANT_B;4375471462
86;19-06-2020 11-32-22;VARIANT_B;4413858724
87;19-06-2020 11-32-26;VARIANT_B;4353041518
88;19-06-2020 11-32-31;VARIANT_B;4489450080
89;19-06-2020 11-32-35;VARIANT_B;4475046946
90;19-06-2020 11-32-40;VARIANT_B;4488628364
91;19-06-2020 11-32-44;VARIANT_B;4443277482
92;19-06-2020 11-32-49;VARIANT_B;4272690242
93;19-06-2020 11-32-53;VARIANT_B;4442359111
94;19-06-2020 11-32-58;VARIANT_B;4394818457
95;19-06-2020 11-33-03;VARIANT_B;4412720660
96;19-06-2020 11-33-07;VARIANT_B;4478600024
97;19-06-2020 11-33-12;VARIANT_B;4502290255
98;19-06-2020 11-33-16;VARIANT_B;4375158038
99;19-06-2020 11-33-21;VARIANT_B;4435318380
