Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;19-06-2020 10-40-43;VARIANT_B;15064305927
1;19-06-2020 10-40-57;VARIANT_B;13631673917
2;19-06-2020 10-41-12;VARIANT_B;14395241249
3;19-06-2020 10-41-26;VARIANT_B;14039588773
4;19-06-2020 10-41-41;VARIANT_B;14910146799
5;19-06-2020 10-41-56;VARIANT_B;15227932751
6;19-06-2020 10-42-12;VARIANT_B;15079735092
7;19-06-2020 10-42-26;VARIANT_B;14532520364
8;19-06-2020 10-42-41;VARIANT_B;14986110079
9;19-06-2020 10-42-57;VARIANT_B;14882018846
10;19-06-2020 10-43-11;VARIANT_B;14456160238
11;19-06-2020 10-43-26;VARIANT_B;15166554060
12;19-06-2020 10-43-41;VARIANT_B;14143702511
13;19-06-2020 10-43-56;VARIANT_B;14740134410
14;19-06-2020 10-44-10;VARIANT_B;14228584400
15;19-06-2020 10-44-24;VARIANT_B;14223008547
16;19-06-2020 10-44-40;VARIANT_B;15405895304
17;19-06-2020 10-44-54;VARIANT_B;14414077682
18;19-06-2020 10-45-09;VARIANT_B;14474399051
19;19-06-2020 10-45-24;VARIANT_B;14565532116
20;19-06-2020 10-45-39;VARIANT_B;15000869862
21;19-06-2020 10-45-53;VARIANT_B;14485241970
22;19-06-2020 10-46-08;VARIANT_B;14825766300
23;19-06-2020 10-46-23;VARIANT_B;14350766184
24;19-06-2020 10-46-38;VARIANT_B;14867518716
25;19-06-2020 10-46-53;VARIANT_B;14987955196
26;19-06-2020 10-47-08;VARIANT_B;14676482165
27;19-06-2020 10-47-22;VARIANT_B;14279136946
28;19-06-2020 10-47-36;VARIANT_B;13943059190
29;19-06-2020 10-47-51;VARIANT_B;14127733724
30;19-06-2020 10-48-06;VARIANT_B;14799026564
31;19-06-2020 10-48-19;VARIANT_B;12992738797
32;19-06-2020 10-48-33;VARIANT_B;14633376404
33;19-06-2020 10-48-48;VARIANT_B;14638743582
34;19-06-2020 10-49-02;VARIANT_B;14106809229
35;19-06-2020 10-49-18;VARIANT_B;15231945139
36;19-06-2020 10-49-33;VARIANT_B;14815391504
37;19-06-2020 10-49-47;VARIANT_B;13934418966
38;19-06-2020 10-50-01;VARIANT_B;14514035011
39;19-06-2020 10-50-15;VARIANT_B;13534554431
40;19-06-2020 10-50-30;VARIANT_B;15104954857
41;19-06-2020 10-50-45;VARIANT_B;14736155633
42;19-06-2020 10-51-00;VARIANT_B;14938090321
43;19-06-2020 10-51-16;VARIANT_B;15510458976
44;19-06-2020 10-51-30;VARIANT_B;14203309470
45;19-06-2020 10-51-45;VARIANT_B;14668788148
46;19-06-2020 10-52-00;VARIANT_B;14754054850
47;19-06-2020 10-52-16;VARIANT_B;15848231649
48;19-06-2020 10-52-31;VARIANT_B;14775551484
49;19-06-2020 10-52-45;VARIANT_B;14266452843
50;19-06-2020 10-53-00;VARIANT_B;14591809881
51;19-06-2020 10-53-15;VARIANT_B;14561863683
52;19-06-2020 10-53-29;VARIANT_B;14565094910
53;19-06-2020 10-53-44;VARIANT_B;14521925837
54;19-06-2020 10-53-58;VARIANT_B;14184184790
55;19-06-2020 10-54-13;VARIANT_B;14261802750
56;19-06-2020 10-54-28;VARIANT_B;14866600094
57;19-06-2020 10-54-42;VARIANT_B;14298936427
58;19-06-2020 10-54-57;VARIANT_B;14657137167
59;19-06-2020 10-55-11;VARIANT_B;14131187985
60;19-06-2020 10-55-25;VARIANT_B;14052465423
61;19-06-2020 10-55-40;VARIANT_B;14371947614
62;19-06-2020 10-55-54;VARIANT_B;13940150943
63;19-06-2020 10-56-08;VARIANT_B;13750032772
64;19-06-2020 10-56-22;VARIANT_B;14273389853
65;19-06-2020 10-56-37;VARIANT_B;14140056655
66;19-06-2020 10-56-50;VARIANT_B;13146842523
67;19-06-2020 10-57-04;VARIANT_B;14157013462
68;19-06-2020 10-57-18;VARIANT_B;13469837247
69;19-06-2020 10-57-32;VARIANT_B;14287186309
70;19-06-2020 10-57-46;VARIANT_B;13450508421
71;19-06-2020 10-57-59;VARIANT_B;13581812620
72;19-06-2020 10-58-14;VARIANT_B;14301419767
73;19-06-2020 10-58-28;VARIANT_B;14363724014
74;19-06-2020 10-58-43;VARIANT_B;14570654035
75;19-06-2020 10-58-58;VARIANT_B;14962120642
76;19-06-2020 10-59-13;VARIANT_B;14432912121
