Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;22-06-2020 22-12-43;VARIANT_B;1687898822
1;22-06-2020 22-12-44;VARIANT_B;1286873289
2;22-06-2020 22-12-45;VARIANT_B;944667089
3;22-06-2020 22-12-47;VARIANT_B;1198496147
4;22-06-2020 22-12-47;VARIANT_B;916521422
5;22-06-2020 22-12-48;VARIANT_B;909536023
6;22-06-2020 22-12-49;VARIANT_B;904952843
7;22-06-2020 22-12-50;VARIANT_B;914263640
8;22-06-2020 22-12-51;VARIANT_B;945893781
9;22-06-2020 22-12-52;VARIANT_B;945149263
10;22-06-2020 22-12-53;VARIANT_B;910998808
11;22-06-2020 22-12-54;VARIANT_B;917511983
12;22-06-2020 22-12-55;VARIANT_B;930414932
13;22-06-2020 22-12-56;VARIANT_B;922631328
14;22-06-2020 22-12-57;VARIANT_B;916208443
15;22-06-2020 22-12-58;VARIANT_B;917543472
16;22-06-2020 22-12-59;VARIANT_B;980285832
17;22-06-2020 22-13-00;VARIANT_B;929079468
18;22-06-2020 22-13-01;VARIANT_B;928153269
19;22-06-2020 22-13-02;VARIANT_B;918818399
20;22-06-2020 22-13-03;VARIANT_B;925141889
21;22-06-2020 22-13-04;VARIANT_B;941394348
22;22-06-2020 22-13-05;VARIANT_B;886571221
23;22-06-2020 22-13-06;VARIANT_B;910571687
24;22-06-2020 22-13-07;VARIANT_B;902317915
25;22-06-2020 22-13-08;VARIANT_B;1034967651
26;22-06-2020 22-13-09;VARIANT_B;932920466
27;22-06-2020 22-13-10;VARIANT_B;894171956
28;22-06-2020 22-13-11;VARIANT_B;898130982
29;22-06-2020 22-13-12;VARIANT_B;975630787
30;22-06-2020 22-13-13;VARIANT_B;910359594
31;22-06-2020 22-13-14;VARIANT_B;1004923314
32;22-06-2020 22-13-16;VARIANT_B;920670310
33;22-06-2020 22-13-16;VARIANT_B;894665407
34;22-06-2020 22-13-17;VARIANT_B;899205512
35;22-06-2020 22-13-18;VARIANT_B;912440985
36;22-06-2020 22-13-19;VARIANT_B;903133004
37;22-06-2020 22-13-20;VARIANT_B;896916511
38;22-06-2020 22-13-21;VARIANT_B;905889108
39;22-06-2020 22-13-22;VARIANT_B;928735768
40;22-06-2020 22-13-23;VARIANT_B;896959397
41;22-06-2020 22-13-24;VARIANT_B;899894445
42;22-06-2020 22-13-25;VARIANT_B;893540481
43;22-06-2020 22-13-26;VARIANT_B;989450968
44;22-06-2020 22-13-27;VARIANT_B;898025635
45;22-06-2020 22-13-28;VARIANT_B;904782669
46;22-06-2020 22-13-29;VARIANT_B;892873470
47;22-06-2020 22-13-30;VARIANT_B;890150073
48;22-06-2020 22-13-31;VARIANT_B;987246985
49;22-06-2020 22-13-32;VARIANT_B;982713788
50;22-06-2020 22-13-33;VARIANT_B;903426367
51;22-06-2020 22-13-34;VARIANT_B;929521235
52;22-06-2020 22-13-35;VARIANT_B;894597696
53;22-06-2020 22-13-36;VARIANT_B;901445543
54;22-06-2020 22-13-37;VARIANT_B;912648074
55;22-06-2020 22-13-38;VARIANT_B;956145638
56;22-06-2020 22-13-39;VARIANT_B;897819087
57;22-06-2020 22-13-40;VARIANT_B;901725469
58;22-06-2020 22-13-41;VARIANT_B;920425244
59;22-06-2020 22-13-42;VARIANT_B;940636769
60;22-06-2020 22-13-43;VARIANT_B;915092146
61;22-06-2020 22-13-44;VARIANT_B;906637022
62;22-06-2020 22-13-45;VARIANT_B;907720093
63;22-06-2020 22-13-46;VARIANT_B;902589118
64;22-06-2020 22-13-47;VARIANT_B;904487958
65;22-06-2020 22-13-48;VARIANT_B;910216721
66;22-06-2020 22-13-49;VARIANT_B;888966386
67;22-06-2020 22-13-50;VARIANT_B;892273866
68;22-06-2020 22-13-51;VARIANT_B;908770118
69;22-06-2020 22-13-52;VARIANT_B;887142899
70;22-06-2020 22-13-53;VARIANT_B;900304065
71;22-06-2020 22-13-54;VARIANT_B;899672581
72;22-06-2020 22-13-55;VARIANT_B;950783601
73;22-06-2020 22-13-56;VARIANT_B;896400665
74;22-06-2020 22-13-57;VARIANT_B;909488189
75;22-06-2020 22-13-58;VARIANT_B;1044764011
76;22-06-2020 22-13-59;VARIANT_B;891000094
77;22-06-2020 22-14-00;VARIANT_B;992802672
78;22-06-2020 22-14-01;VARIANT_B;963848671
79;22-06-2020 22-14-02;VARIANT_B;907818613
80;22-06-2020 22-14-03;VARIANT_B;888300485
81;22-06-2020 22-14-04;VARIANT_B;891029700
82;22-06-2020 22-14-05;VARIANT_B;901243305
83;22-06-2020 22-14-06;VARIANT_B;898953086
84;22-06-2020 22-14-07;VARIANT_B;895316670
85;22-06-2020 22-14-08;VARIANT_B;915436093
86;22-06-2020 22-14-09;VARIANT_B;922561268
87;22-06-2020 22-14-10;VARIANT_B;897271116
88;22-06-2020 22-14-11;VARIANT_B;907175740
89;22-06-2020 22-14-12;VARIANT_B;912668613
90;22-06-2020 22-14-13;VARIANT_B;974630318
91;22-06-2020 22-14-14;VARIANT_B;911253125
92;22-06-2020 22-14-15;VARIANT_B;941350246
93;22-06-2020 22-14-16;VARIANT_B;914694596
94;22-06-2020 22-14-17;VARIANT_B;898501685
95;22-06-2020 22-14-18;VARIANT_B;909079561
96;22-06-2020 22-14-19;VARIANT_B;969849854
97;22-06-2020 22-14-20;VARIANT_B;892603837
98;22-06-2020 22-14-21;VARIANT_B;895481907
99;22-06-2020 22-14-22;VARIANT_B;897286136
