Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;22-07-2020 21-27-20;VARIANT_B;2485625584
1;22-07-2020 21-27-23;VARIANT_B;2241400078
2;22-07-2020 21-27-25;VARIANT_B;2082310228
3;22-07-2020 21-27-27;VARIANT_B;2016180151
4;22-07-2020 21-27-29;VARIANT_B;2118450742
5;22-07-2020 21-27-31;VARIANT_B;2053894963
6;22-07-2020 21-27-33;VARIANT_B;2001270004
7;22-07-2020 21-27-36;VARIANT_B;2089870900
8;22-07-2020 21-27-38;VARIANT_B;1995110403
9;22-07-2020 21-27-40;VARIANT_B;2119186687
10;22-07-2020 21-27-42;VARIANT_B;2134557258
11;22-07-2020 21-27-44;VARIANT_B;2119450994
12;22-07-2020 21-27-47;VARIANT_B;2090131603
13;22-07-2020 21-27-49;VARIANT_B;2137890569
14;22-07-2020 21-27-51;VARIANT_B;2076589257
15;22-07-2020 21-27-53;VARIANT_B;2117131579
16;22-07-2020 21-27-55;VARIANT_B;2106308636
17;22-07-2020 21-27-57;VARIANT_B;2102991196
18;22-07-2020 21-28-00;VARIANT_B;2085903020
19;22-07-2020 21-28-02;VARIANT_B;2085123520
20;22-07-2020 21-28-04;VARIANT_B;2119776716
21;22-07-2020 21-28-06;VARIANT_B;2148456937
22;22-07-2020 21-28-08;VARIANT_B;2096654951
23;22-07-2020 21-28-10;VARIANT_B;2089994733
24;22-07-2020 21-28-13;VARIANT_B;2086973586
25;22-07-2020 21-28-15;VARIANT_B;2076985979
26;22-07-2020 21-28-17;VARIANT_B;2075391617
27;22-07-2020 21-28-19;VARIANT_B;2015329222
28;22-07-2020 21-28-21;VARIANT_B;2105810256
29;22-07-2020 21-28-23;VARIANT_B;2143240330
30;22-07-2020 21-28-26;VARIANT_B;2068757132
31;22-07-2020 21-28-28;VARIANT_B;2110493773
32;22-07-2020 21-28-30;VARIANT_B;2029622311
33;22-07-2020 21-28-32;VARIANT_B;2099843457
34;22-07-2020 21-28-34;VARIANT_B;2011815638
