Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;22-07-2020 06-46-10;VARIANT_B;9316392288
1;22-07-2020 06-46-17;VARIANT_B;6534760708
2;22-07-2020 06-46-24;VARIANT_B;6587581972
3;22-07-2020 06-46-29;VARIANT_B;5214720383
4;22-07-2020 06-46-37;VARIANT_B;6727458070
5;22-07-2020 06-46-42;VARIANT_B;5234432188
6;22-07-2020 06-46-48;VARIANT_B;5360271837
7;22-07-2020 06-46-54;VARIANT_B;5052838011
8;22-07-2020 06-47-01;VARIANT_B;7178230035
9;22-07-2020 06-47-08;VARIANT_B;6497715939
10;22-07-2020 06-47-14;VARIANT_B;5164216693
11;22-07-2020 06-47-20;VARIANT_B;5538323669
12;22-07-2020 06-47-25;VARIANT_B;5231815522
13;22-07-2020 06-47-31;VARIANT_B;5541811783
14;22-07-2020 06-47-37;VARIANT_B;5205554647
15;22-07-2020 06-47-43;VARIANT_B;5434759939
16;22-07-2020 06-47-49;VARIANT_B;5213963886
17;22-07-2020 06-47-54;VARIANT_B;5245908627
18;22-07-2020 06-48-00;VARIANT_B;5419832734
19;22-07-2020 06-48-06;VARIANT_B;5204939551
20;22-07-2020 06-48-11;VARIANT_B;5079982002
21;22-07-2020 06-48-18;VARIANT_B;6593128859
22;22-07-2020 06-48-25;VARIANT_B;6560834991
23;22-07-2020 06-48-34;VARIANT_B;8138524356
24;22-07-2020 06-48-41;VARIANT_B;6404950469
25;22-07-2020 06-48-46;VARIANT_B;5104952437
26;22-07-2020 06-48-52;VARIANT_B;5454135644
27;22-07-2020 06-48-58;VARIANT_B;5418253994
28;22-07-2020 06-49-04;VARIANT_B;5294985307
29;22-07-2020 06-49-10;VARIANT_B;5443457941
30;22-07-2020 06-49-16;VARIANT_B;5356406540
31;22-07-2020 06-49-21;VARIANT_B;5269712872
32;22-07-2020 06-49-27;VARIANT_B;5342711693
33;22-07-2020 06-49-33;VARIANT_B;5397261142
34;22-07-2020 06-49-38;VARIANT_B;5264629292
35;22-07-2020 06-49-44;VARIANT_B;5528634813
36;22-07-2020 06-49-50;VARIANT_B;5581071038
37;22-07-2020 06-49-56;VARIANT_B;5433216141
38;22-07-2020 06-50-04;VARIANT_B;7113264600
39;22-07-2020 06-50-09;VARIANT_B;5415095669
40;22-07-2020 06-50-15;VARIANT_B;5561980868
41;22-07-2020 06-50-21;VARIANT_B;5416848149
42;22-07-2020 06-50-27;VARIANT_B;5226388161
43;22-07-2020 06-50-32;VARIANT_B;5192808276
44;22-07-2020 06-50-39;VARIANT_B;6306058631
45;22-07-2020 06-50-45;VARIANT_B;5434893432
46;22-07-2020 06-50-51;VARIANT_B;5246507354
47;22-07-2020 06-50-57;VARIANT_B;6348015148
48;22-07-2020 06-51-05;VARIANT_B;6764233490
49;22-07-2020 06-51-10;VARIANT_B;5221409770
