Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;08-07-2020 00-50-13;VARIANT_B;47994573054
1;08-07-2020 00-51-01;VARIANT_B;47215431555
2;08-07-2020 00-51-48;VARIANT_B;46813726293
3;08-07-2020 00-52-33;VARIANT_B;45040849911
4;08-07-2020 00-53-20;VARIANT_B;46471926237
5;08-07-2020 00-54-04;VARIANT_B;44548389795
6;08-07-2020 00-54-51;VARIANT_B;46593213394
7;08-07-2020 00-55-38;VARIANT_B;46367287826
8;08-07-2020 00-56-22;VARIANT_B;44711791721
9;08-07-2020 00-57-09;VARIANT_B;46172466455
10;08-07-2020 00-57-54;VARIANT_B;44872498446
11;08-07-2020 00-58-40;VARIANT_B;46078485133
12;08-07-2020 00-59-25;VARIANT_B;44796821683
13;08-07-2020 01-00-18;VARIANT_B;52525597924
14;08-07-2020 01-01-04;VARIANT_B;46145408188
15;08-07-2020 01-01-50;VARIANT_B;45862603461
16;08-07-2020 01-02-35;VARIANT_B;44760962222
17;08-07-2020 01-03-21;VARIANT_B;46204769699
18;08-07-2020 01-04-07;VARIANT_B;46059104323
19;08-07-2020 01-04-54;VARIANT_B;45932216213
20;08-07-2020 01-05-40;VARIANT_B;46180501830
21;08-07-2020 01-06-26;VARIANT_B;45551553893
22;08-07-2020 01-07-12;VARIANT_B;46301513534
23;08-07-2020 01-07-58;VARIANT_B;46285841140
24;08-07-2020 01-08-45;VARIANT_B;45998858646
25;08-07-2020 01-09-31;VARIANT_B;45991931864
26;08-07-2020 01-10-16;VARIANT_B;45605571650
27;08-07-2020 01-11-01;VARIANT_B;44387752363
28;08-07-2020 01-11-47;VARIANT_B;45934262708
29;08-07-2020 01-12-34;VARIANT_B;46412198516
30;08-07-2020 01-13-20;VARIANT_B;46616240989
31;08-07-2020 01-14-07;VARIANT_B;46330557954
32;08-07-2020 01-14-53;VARIANT_B;45811075445
33;08-07-2020 01-15-39;VARIANT_B;46250324635
34;08-07-2020 01-16-26;VARIANT_B;46393580927
35;08-07-2020 01-17-12;VARIANT_B;46383281903
36;08-07-2020 01-17-59;VARIANT_B;46099582768
