Threads,Mean,Std,SpeedUp Real,Accuracy Real,Sim Without Memory Hierachy,SpeedUp Sim Without Memory Hierachy,Accuracy Without Memory Hierarchy,Sim Data Read Model,SpeedUp Sim Data Read Model,Accuracy Sim Data Read Model,Recalibrated Sim Data Read Model,SpeedUp Recalibrated Sim Data Read Model,Accuracy Recalibrated Sim Data Read Model,Sim Recalib With Cache Line,SpeedUp Sim Recalib With Cache Line,Accuracy Sim Recalib With Cache Line,Sim With Cacheline and Multicore Scaling L3-Dram Bandwidth,SpeedUp Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth,Accuracy Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth
1,25420.2594,213.8566302,1,0,25420,1,-0.00001020458391,30189,0.8420285534,0.1875960635,25420,1,-0.00001020458391,25420,1,-0.00001020458391,25420,1,-0.00001020458391
2,14449.33542,587.6057643,1.759268413,0,12810,1.984387198,-0.1134540362,15293,1.662198391,0.0583877771,12909,1.969168797,-0.10660251,15965,1.59223301,0.1048951063,12434,2.044394402,-0.1394759942
4,7035.432544,158.32219,3.613176481,0,6455,3.938032533,-0.08250133023,7732,3.287635799,0.09900847632,6540,3.886850153,-0.07041962815,8482,2.996934685,0.20561173,6292,4.040050858,-0.1056697707
6,4726.511071,140.2595135,5.378229104,0,4336,5.862546125,-0.08262142306,5250,4.841904762,0.1107558877,4455,5.705948373,-0.0574442896,5674,4.480084596,0.2004626489,4316,5.889712697,-0.08685287406
8,3598.883209,98.11971359,7.063374365,0,3277,7.757094904,-0.08943974849,4016,6.329681275,0.1159017303,3419,7.434922492,-0.0499830638,4358,5.832950895,0.2109312103,3244,7.836004932,-0.09860925972
10,2994.981413,98.12103019,8.487618417,0,2642,9.621498864,-0.1178576307,3271,7.771323754,0.09216036718,2794,9.098067287,-0.06710606362,3505,7.252496434,0.1702910691,2648,9.599697885,-0.1158542793
12,2958.351531,84.83400121,8.592710886,0,2218,11.46077547,-0.2502581329,2772,9.17027417,-0.06299167922,2375,10.70315789,-0.1971880369,3128,8.126598465,0.05734560873,2309,11.00909485,-0.2194977588
14,2640.279107,88.21234849,9.627868256,0,1915,13.27415144,-0.2746978928,2392,10.6270903,-0.09403517472,2051,12.39395417,-0.223188187,3258,7.802332719,0.2339604518,2184,11.63919414,-0.1728147247
16,2637.220726,114.4992492,9.63903368,0,1688,15.05924171,-0.359932226,2119,11.99622463,-0.1965025988,1821,13.95936299,-0.3095003457,3083,8.245215699,0.1690337366,2060,12.33980583,-0.218874636
18,2487.501758,98.75713995,10.21919254,0,1512,16.81216931,-0.3921612335,1898,13.39304531,-0.2369854638,1633,15.56644213,-0.3435180518,3004,8.462050599,0.2076373376,1959,12.97600817,-0.2124628681
20,2427.801466,78.37734692,10.47048523,0,1371,18.5412108,-0.4352915512,1713,14.83946293,-0.2944233605,1474,17.24559023,-0.3928663359,2817,9.023784168,0.1603090447,1782,14.26487093,-0.2660025852
