Threads,Mean,Std,SpeedUp Real,Accuracy Real,Sim Without Memory Hierachy,SpeedUp Sim Without Memory Hierachy,Accuracy Without Memory Hierarchy,Sim Data Read Model,SpeedUp Sim Data Read Model,Accuracy Sim Data Read Model,Recalibrated Sim Data Read Model,SpeedUp Recalibrated Sim Data Read Model,Accuracy Recalibrated Sim Data Read Model,Sim Recalib With Cache Line,SpeedUp Sim Recalib With Cache Line,Accuracy Sim Recalib With Cache Line,Sim With Cacheline and Multicore Scaling L3-Dram Bandwidth,SpeedUp Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth,Accuracy Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth
1,227043.1206,964.8657746,1,0,227043,1,-0.0000005310397413,254590,0.8917990517,0.1213288443,227043,1,-0.0000005310397413,227043,1,-0.0000005310397413,227043,1,-0.0000005310397413
2,125019.699,2879.485859,1.816058768,0,113621,1.998248563,-0.09117522378,127412,1.781960259,0.01913539212,113638,1.99794963,-0.09103924521,114409,1.984485486,-0.08487221708,113614,1.99837168,-0.09123121496
4,66140.62221,2582.7466,3.432733364,0,56860,3.993017939,-0.1403165241,63777,3.55995297,-0.03573631652,56891,3.990842137,-0.1398478258,57484,3.949672952,-0.13088208,56804,3.99695444,-0.141163205
6,45147.45579,1199.451904,5.028923925,0,37940,5.984264628,-0.1596425682,42569,5.333531926,-0.05711187359,37978,5.978276897,-0.1588008817,38588,5.883772157,-0.1452895999,37924,5.986789368,-0.1599969624
8,34088.85766,695.8816191,6.660332324,0,28480,7.972015449,-0.1645363924,31960,7.10397749,-0.06245024935,28517,7.961671985,-0.1634509938,29008,7.826909818,-0.1490474604,28457,7.978458727,-0.1652110997
10,27199.22145,532.513992,8.347412478,0,22804,9.9562796,-0.1615936494,25597,8.86991134,-0.05890688663,22843,9.93928118,-0.1601597848,23258,9.761931378,-0.1449019951,22784,9.965019312,-0.1623289645
12,23305.93465,513.3757335,9.741858627,0,19020,11.93706625,-0.1838988531,21355,10.63184831,-0.08370977961,19059,11.9126397,-0.1822254596,19466,11.66356725,-0.1647620965,19012,11.94208921,-0.1842421133
14,20146.60333,412.0572601,11.26954836,0,16317,13.91450634,-0.1900867988,18328,12.38777393,-0.09026848365,16361,13.87708575,-0.1879028078,16769,13.53944779,-0.167651255,16312,13.91877146,-0.1903349796
16,17758.79239,620.7635509,12.78482881,0,14290,15.88824353,-0.1953281685,16054,14.14246422,-0.09599709008,14332,15.84168295,-0.1929631428,14707,15.43775073,-0.1718468421,14281,15.89825642,-0.1958349597
18,15699.486,493.9006122,14.46181872,0,12713,17.85912059,-0.1902282661,14285,15.89381313,-0.09009759939,12754,17.80170927,-0.1876167156,13097,17.33549668,-0.1657688666,12700,17.87740157,-0.1910563187
20,14374.44746,610.2588451,15.79491116,0,11452,19.82561998,-0.2033085077,12872,17.63852708,-0.1045221019,11495,19.75145716,-0.2003170883,11828,19.19538383,-0.1771509805,11445,19.83774574,-0.2037954829
24,12200.02226,696.2316179,18.6100579,0,9560,23.74926778,-0.2163948722,10752,21.11636166,-0.1186901324,9604,23.64046231,-0.2127883214,9930,22.86435045,-0.1860670587,9558,23.75423729,-0.2165588063
28,10519.82311,721.1629768,21.58240859,0,8208,27.66118421,-0.2197587433,9236,24.58240803,-0.122038469,8252,27.51369365,-0.2155761635,8548,26.56094993,-0.1874388082,8206,27.66792591,-0.2199488606
32,9446.020307,702.7559518,24.0358493,0,7195,31.55566366,-0.2383035642,8101,28.02655482,-0.1423901562,7240,31.35953039,-0.2335396533,7532,30.14378651,-0.2026271641,7194,31.56005004,-0.2384094289
36,8667.326699,749.013678,26.19528817,0,6406,35.44224165,-0.2609024417,7218,31.45512892,-0.1672172688,6453,35.18410042,-0.2554797778,6727,33.75100342,-0.2238668007,6407,35.43670985,-0.2607870659
