ThreadPoolSize;RunNr;Runtime;Memory;L2-Cache-Misses;L2-Cache-References;L2-Cache-Miss-Rate
1;0;0;1527568048;0;0;0.0
1;1;330725;1524761960;1066220;1550305;0.6877485398034581
1;2;329117;1521837344;1069897;1577678;0.6781466180044343
1;3;326452;1519061488;1061141;1554787;0.6824992748202808
1;4;334107;1516136880;1074215;1575476;0.6818352040907002
1;5;332154;1513330528;1074390;1568451;0.6850006790138806
1;6;327961;1510436520;1060440;1537975;0.6895040556576018
1;7;329936;1507511912;1065741;1559115;0.683555093755111
1;8;328681;1504736104;1064856;1555014;0.6847886900053632
1;9;327007;1501811544;1060755;1535558;0.6907944864342473
1;10;328848;1499005096;1065217;1556929;0.6841782765945011
2;0;0;1499005096;0;0;0.0
2;1;121413;1496111080;421667;609611;0.6916984765694845
2;2;123016;1493004400;426886;630226;0.6773538381469505
2;3;124496;1490056040;435741;647463;0.6729975303608082
2;4;125079;1486594720;437978;643608;0.6805042821096071
2;5;121781;1483764600;427826;617411;0.6929355000153868
2;6;126578;1480421504;442485;655388;0.6751496823255843
2;7;125447;1477354920;442757;659302;0.6715541587921772
2;8;123851;1474129984;436381;637184;0.6848586907392528
2;9;125684;1471181688;438925;648008;0.6773450327773731
2;10;128847;1467838576;448220;659426;0.6797123558974016
3;0;0;1467838576;0;0;0.0
3;1;75645;1463998864;273687;433608;0.6311853102341285
3;2;75075;1459922752;272468;428850;0.6353456919668882
3;3;75578;1455728464;275014;434754;0.632573823357577
3;4;75004;1452307304;271660;429813;0.6320423067706189
3;5;74014;1448427432;270956;425324;0.637057866473559
3;6;75520;1444351320;271275;433189;0.6262278128022641
3;7;74309;1440930192;269000;427607;0.6290823115617845
3;8;74666;1437627240;270924;430995;0.6286012598754046
3;9;73346;1433865592;264155;422059;0.625872212178866
3;10;74262;1429789480;263926;423890;0.6226285121139918
4;0;0;1429789480;0;0;0.0
4;1;53784;1425476968;200140;317357;0.6306462438200512
4;2;53903;1421282696;198264;311916;0.6356326703343208
4;3;52816;1416970152;196252;303399;0.6468445841944107
4;4;52979;1412581672;194798;304102;0.6405679673267523
4;5;54472;1408463336;200382;317637;0.6308521992085305
4;6;53423;1404387272;195376;301428;0.6481680533991534
4;7;53421;1400074744;197678;310892;0.6358413854328835
4;8;53346;1395998664;197938;313155;0.6320767670961664
4;9;53431;1391610152;197929;315099;0.6281486136103256
4;10;54221;1388264904;199286;316155;0.6303427116446048
5;0;0;1388264904;0;0;0.0
5;1;42494;1384188864;162499;251955;0.6449524716715287
5;2;42286;1380885944;162630;254365;0.639356829752521
5;3;42270;1377124264;161106;249907;0.6446638149391574
5;4;42064;1372929944;159836;247583;0.6455855208152418
5;5;42258;1368735656;160866;252375;0.637408618127786
5;6;42057;1364423128;159549;246280;0.6478357966542148
5;7;42203;1360347032;161456;252682;0.6389691390759927
5;8;42349;1356152672;159112;252557;0.6300043158574105
5;9;42432;1351958440;157797;248832;0.6341507523148148
5;10;42395;1347764120;158396;253784;0.6241370614380733
6;0;0;1347764120;0;0;0.0
6;1;35741;1343569760;138006;216252;0.6381721325120693
6;2;35033;1339375472;135804;210936;0.6438161338036181
6;3;35232;1335181240;137099;212978;0.6437237648959048
6;4;35214;1330986904;135997;208091;0.6535458044797708
6;5;35021;1326792600;135326;208115;0.6502462580784663
6;6;35079;1322598328;135459;211920;0.6391987542468857
6;7;35025;1318404040;136250;213113;0.6393321852726018
6;8;35178;1314327896;135481;214451;0.6317573711477213
6;9;35255;1310133592;136068;213807;0.6364057304017174
6;10;35058;1305939288;136887;215396;0.6355131943025869
7;0;0;1305939288;0;0;0.0
7;1;30252;1301312376;121763;191632;0.6354001419387159
7;2;29953;1296999848;119495;186891;0.639383383897566
7;3;30099;1292032432;122426;191900;0.6379676915059928
7;4;29938;1286946712;120810;189240;0.6383956880152187
7;5;29796;1282437992;121708;189351;0.6427639674466995
7;6;30029;1277352320;120837;188359;0.641524960315143
7;7;30024;1272266648;119680;185112;0.6465275076710316
