ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
1;0;0;427266888;0;0;0.0
1;1;186060;423989128;1217337;7195922;0.16917039956797753
1;2;186240;420778560;1198779;6162934;0.19451433359500522
1;3;186342;417617616;1198276;6050528;0.1980448648448532
1;4;186215;414385432;1138561;6040886;0.188475829538912
1;5;186338;411111920;928571;5689629;0.1632041386178255
1;6;186136;407882280;988651;5788165;0.17080560073874881
1;7;186393;404789472;1053431;5931321;0.1776047865222604
1;8;186300;401558024;1168408;6103131;0.19144403094084003
1;9;186259;398516464;1187677;5990088;0.19827371484358827
1;10;186218;395299448;1155484;5871072;0.19680971379673082
2;0;0;395299448;0;0;0.0
2;1;93389;391849232;1371264;5512006;0.24877766823911296
2;2;93410;388440760;1591983;4818947;0.3303591012725394
2;3;93681;385072696;1338950;4577020;0.29253750256717254
2;4;93440;381714640;1294844;4484343;0.2887477608202584
2;5;93423;378320144;1451151;4614501;0.31447625647930294
2;6;93350;374817720;1308291;4789224;0.2731739004064124
2;7;93624;371449328;1199588;4474438;0.2680980270594877
2;8;93648;367925096;1483497;4691372;0.31621815537117925
2;9;93395;364578064;1433576;4643354;0.30873717575700665
2;10;93322;361177800;1316305;4463295;0.2949177681511081
3;0;0;361177800;0;0;0.0
3;1;62506;357670216;1287339;4342857;0.2964267531719327
3;2;62489;354474224;1332483;4465441;0.2983989711206575
3;3;62564;350890208;1379070;4576784;0.30131856779782484
3;4;62486;347444824;1411156;4521620;0.31209079931528966
3;5;62512;344033120;1406295;4514304;0.3115197824515141
3;6;62524;340478608;1366988;4690418;0.2914426816543856
3;7;62476;336959120;1358559;4890014;0.2778231309767211
3;8;62538;333547360;1594842;4878511;0.3269116334881688
3;9;62495;330154488;1485831;4931306;0.30130577984817813
3;10;62717;326564152;1357638;4654090;0.29170858320316106
4;0;0;326564152;0;0;0.0
4;1;47120;323383048;1284075;4344762;0.2955455327587564
4;2;47020;320184560;1371001;4322525;0.317175956183018
4;3;47121;316828464;1279820;4181520;0.30606573686123706
4;4;47146;313616136;1035748;3716014;0.2787255376325278
4;5;47058;310419680;1144000;4005679;0.2855945271700503
4;6;47038;307214944;1163504;4263060;0.2729269585696659
4;7;47073;304010792;1311557;4245570;0.30892365453873094
4;8;47072;300835384;1317232;4416952;0.298221941284397
4;9;47233;297634080;1065340;4128311;0.2580571085850848
4;10;47222;294283400;1100930;4130306;0.2665492580937103
5;0;0;294283400;0;0;0.0
5;1;38345;290410672;1072794;4253282;0.2522273387939008
5;2;38355;286734576;959627;3961293;0.2422509518987866
5;3;38351;283063864;1068703;4023984;0.26558331245849887
5;4;38360;279450088;1052637;4096724;0.2569460378585426
5;5;38374;275620760;945066;3969813;0.2380631027204556
5;6;38318;271879256;1103044;4167225;0.26469509085782505
5;7;38332;268115144;1073033;4261035;0.25182449803862206
5;8;38419;264506928;970241;3995487;0.2428342277174222
5;9;38493;260894192;1109502;4339561;0.25567148382059846
5;10;38433;257116608;1894030;16954179;0.11171463979470785
6;0;0;257116608;0;0;0.0
6;1;32285;253864784;974915;4054759;0.24043722450582142
6;2;32282;250457520;1012592;3773701;0.26832862486985587
6;3;32253;247044664;1059548;3795181;0.2791824685041372
6;4;32297;243795888;1006884;3925555;0.25649468673856307
6;5;32264;240492768;1124873;4172147;0.269614900913127
6;6;32299;237035760;1146490;4320020;0.2653899750464118
6;7;32271;233628544;1056588;4191287;0.2520915413332468
6;8;32264;230267448;1043884;4110308;0.25396734259330445
6;9;32252;227021344;912736;3693296;0.2471331840177446
6;10;32304;223696496;1018047;4035261;0.25228777023344956
7;0;0;223696496;0;0;0.0
7;1;27952;220132904;894901;3966414;0.22561966552155172
7;2;27867;216374160;997299;4333741;0.2301242736933287
7;3;27896;212780616;870333;3840051;0.22664620860504198
7;4;27875;209019136;1027621;4268425;0.24074945676684023
7;5;27901;205345696;880251;3753361;0.23452340449000242
7;6;27890;201765784;1004427;3944479;0.2546412339880628
