ThreadPoolSize;RunNr;Runtime;Memory;L2-Cache-Misses;L2-Cache-References;L2-Cache-Miss-Rate
1;0;0;913652736;0;0;0.0
1;1;342404;910815504;1164978;1645135;0.7081351986311154
1;2;348457;907994920;1175737;1676879;0.7011459980117826
1;3;342516;905053832;1162048;1626888;0.7142765820388374
1;4;346194;902185744;1175149;1661492;0.7072853796467271
1;5;346901;899365232;1177882;1661201;0.7090544732395417
1;6;344954;896544664;1167290;1648606;0.7080466770107594
1;7;346070;893676536;1169975;1647624;0.7100982991264997
1;8;347580;890735480;1186670;1670010;0.7105765833737523
1;9;343963;887867376;1171993;1659279;0.7063266635689357
1;10;347195;885046824;1172140;1658400;0.7067896767969127
2;0;0;885046824;0;0;0.0
2;1;129148;882023128;333028061;333240891;0.9993613328803637
2;2;133344;878894928;342912625;343134564;0.9993532012706245
2;3;129654;875731672;323253147;323458389;0.9993654763426154
2;4;126764;872603472;343320284;343520832;0.9994161984330545
2;5;127812;869440232;330306157;330507782;0.9993899538498613
2;6;129936;866191472;353128548;353327641;0.9994365201674102
2;7;127716;863148800;318170368;318383036;0.9993320372760062
2;8;127940;860020560;350673171;350875937;0.9994221148314312
2;9;129649;856857304;318973388;319189015;0.9993244535686794
2;10;127870;853729104;332192221;332409610;0.9993460207122171
3;0;0;853729104;0;0;0.0
3;1;74838;850686408;115099222;115209700;0.9990410703265437
3;2;75743;847317104;114509020;114638461;0.9988708763283206
3;3;77466;844395024;115969738;116121475;0.9986932907974171
3;4;76674;841146192;111120867;111131898;0.9999007395698398
3;5;76812;838103512;109540422;109686681;0.9986665746591421
3;6;74124;834854752;106444942;106558850;0.998931032007196
3;7;75721;831812080;105159744;105307650;0.998595486652679
3;8;76906;828442720;120533043;120530923;1.0000175888473035
3;9;76969;825520656;112480842;112565630;0.9992467683075198
3;10;77656;822271824;106602522;106668909;0.9993776349582801
4;0;0;822271824;0;0;0.0
4;1;52446;818198096;65614665;65687392;0.9988928316715634
4;2;52542;814003776;62887660;62857513;1.000479608539396
4;3;53301;810393296;65705735;65794594;0.9986494483118172
4;4;54069;806424112;69009589;69105348;0.9986143040622558
4;5;53233;802350368;63346135;63411065;0.998976046215278
4;6;53652;798156064;58687045;58760914;0.9987428888529541
4;7;54644;794545584;66100891;66206586;0.9984035576158541
4;8;53003;790351280;67192408;67306149;0.9983100949662118
4;9;53423;786156976;68953137;68983205;0.9995641257897484
4;10;52715;782546496;69625532;69551275;1.0010676583570899
5;0;0;782546496;0;0;0.0
5;1;41696;777888928;47865694;47832547;1.0006929800330306
5;2;41586;772990184;43668548;43734779;0.9984856217062398
5;3;41905;768572864;41806538;41896311;0.997857257647338
5;4;41710;763792688;41070302;41142012;0.9982570128072492
5;5;41792;759477824;48421524;48459243;0.9992216345599951
5;6;41904;754820256;39738074;39759809;0.9994533424443764
5;7;41596;750042128;43373288;43403474;0.9993045257160752
5;8;41699;745381584;41422074;41383287;1.0009372624267376
5;9;41561;740724016;45599843;45610987;0.9997556729039869
5;10;41788;735945888;37144324;37273626;0.9965310055962895
6;0;0;735945888;0;0;0.0
6;1;34525;732214848;29559184;29570918;0.9996031912164512
6;2;34786;728726976;30262216;30168380;1.0031104089778768
6;3;34476;725098496;27273857;27355411;0.997018725107073
6;4;34427;721487984;29498465;29548082;0.9983208047141605
6;5;34866;718343792;28726914;28750626;0.9991752527405838
6;6;34727;714733264;31693746;31642548;1.0016180112928958
6;7;34817;711122768;29259257;29257798;1.0000498670474107
6;8;34565;707858032;28443406;28455151;0.999587245205622
6;9;34375;704126960;27603173;27652485;0.9982167244643655
6;10;34590;700516448;31063656;31030175;1.001078981990917
7;0;0;700516448;0;0;0.0
7;1;29343;696442736;21875459;21874324;1.0000518873177522
7;2;29358;692368976;20452030;20352033;1.0049133666400796
7;3;29561;688637936;22212280;22089675;1.005550330640899
7;4;29539;684789336;21201674;21194378;1.0003442422325393
7;5;29484;680595024;24720019;24769097;0.9980185793612096
7;6;29414;2106486160;22783160;22773521;1.000423254708835
7;7;29511;2100412024;23285205;23328214;0.9981563526466278
7;8;29632;2094120568;21235529;21217753;1.0008377889967897
7;9;29693;2087829112;21740956;21719277;1.000998145564422
7;10;29623;2081537656;21807747;21805984;1.0000808493668527
8;0;0;2081537656;0;0;0.0
8;1;25847;2074043016;14829870;14879760;0.996647123340699
8;2;26081;2067751544;18336693;18213426;1.006767919445798
8;3;26181;2060566136;17696538;17476900;1.012567331735033
8;4;25850;2053071496;18046063;17997960;1.0026726917939588
8;5;25983;2046780024;15639408;15503330;1.0087773400940314
8;6;25805;2039940856;18527092;18456950;1.0038003028669418
8;7;25698;2033303160;18627188;18580777;1.0024977965130306
8;8;25887;2026154728;18747258;18681295;1.0035309650642528
8;9;25940;2020413048;16907035;16710301;1.011773217011471
8;10;25884;2014121592;17720238;17734212;0.9992120315241523
9;0;0;2014121592;0;0;0.0
9;1;23237;2006040200;13904769;13711708;1.0140800110387416
9;2;23153;1998545544;14324277;14180069;1.0101697671569863
9;3;23267;1990156936;13991091;13872944;1.0085163610550147
9;4;23091;1982664312;13533290;13399931;1.0099522154255869
9;5;23443;1974582920;14719490;14651875;1.004614767734505
9;6;23207;1967088264;14363724;14345861;1.0012451675085936
9;7;23231;1959595640;13657829;13464049;1.0143924015725136
9;8;23248;1952408184;12747140;12614392;1.0105235353396342
9;9;23125;1944019592;13511782;13419279;1.0068932913608846
9;10;23431;1936526968;13553164;13619399;0.9951367163852091
10;0;0;1936526968;0;0;0.0
10;1;21156;1930235512;12151425;12033121;1.009831530822303
10;2;21172;1923048056;13020790;12803758;1.0169506483955726
10;3;20916;1916756600;9269798;9202163;1.0073499024088142
10;4;21099;1909917416;11959607;11935161;1.0020482337858703
10;5;21000;1903279752;13272871;13158692;1.0086770782384753
10;6;21199;1896988296;10048731;10014335;1.0034346763913928
10;7;21124;1890389624;13666007;13590681;1.0055424742880803
10;8;21141;1883548392;12833384;12713992;1.009390598955859
10;9;20762;1876910712;10674469;10753763;0.9926263950581764
10;10;21182;1870619256;12405450;12165614;1.0197142536332322
11;0;0;1870619256;0;0;0.0
11;1;19560;1863126648;8979366;8708891;1.0310573412849007
11;2;19660;1855939192;8074280;7593070;1.063374893159157
11;3;19384;1848753800;8433456;8241307;1.0233153551979073
11;4;19419;1841259128;11520047;11284754;1.0208505209772407
11;5;19359;1833766520;11905183;11683052;1.0190130969202225
11;6;19364;1826579064;8442373;8132479;1.0381057239742026
11;7;19637;1819086456;8721870;8687804;1.0039211289757457
11;8;19476;1811351272;9530135;9641311;0.9884687881139816
11;9;19674;1804406392;9046091;8902928;1.0160804400529804
11;10;19416;1797218936;10277331;10290231;0.9987463838275351
12;0;0;1797218936;0;0;0.0
12;1;18719;1789726328;6420305;6392021;1.0044248915953187
12;2;18816;1781337720;8070709;7858698;1.0269778785238979
