ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
1;0;0;208573736;0;0;0.0
1;1;208756;205389048;1413211;8115211;0.17414346959062432
1;2;208663;202220704;1326928;7653396;0.17337767443367624
1;3;208851;199097592;1187320;7383446;0.1608083813438874
1;4;208985;195931952;1535079;7822007;0.19625129458462515
1;5;209257;192787080;1417771;7766314;0.18255391167547436
1;6;208832;189624064;1432275;7762832;0.18450418610115485
1;7;208825;186465448;1338642;7633356;0.17536742685654907
1;8;208865;495270048;1493964;7630436;0.1957901226089833
1;9;209176;492203984;1492825;6488185;0.23008360581580212
1;10;208824;488683456;1341762;5935440;0.22605939913468925
2;0;0;488683456;0;0;0.0
2;1;104706;485338848;858937787;923094187;0.9304985331903082
2;2;105005;482283712;864914331;988227279;0.8752180286656507
2;3;104782;479055568;873683971;944666928;0.9248592759034325
2;4;104878;475994304;881377189;947332157;0.9303782020776479
2;5;104856;472764112;864524875;976218094;0.8855857930861093
2;6;104989;469702848;837902805;962389683;0.8706481582263595
2;7;104750;466188544;848516807;913739748;0.9286197835403786
2;8;104723;462843856;844905951;910508376;0.9279496743476416
2;9;104666;459615680;835400761;930813549;0.8974952737822685
2;10;104888;456265632;745246913;1195513643;0.6233696431350554
3;0;0;456265632;0;0;0.0
3;1;70145;452925632;562167170;604424178;0.9300871647129907
3;2;70046;449411312;565307907;594043051;0.9516278425416679
3;3;70095;446061280;562309037;608398103;0.9242452174444075
3;4;70175;442551664;567272339;591916469;0.9583655274170113
3;5;70138;439206920;570971458;601688316;0.9489488873505065
3;6;70188;435578224;572752848;597981454;0.9578103872097679
3;7;70203;432065904;575634366;591010334;0.9739835885847641
3;8;70054;428439768;576025809;592695594;0.971874626420793
3;9;70003;425089760;573475378;595252151;0.9634158852455789
3;10;70115;421468352;573745796;601935020;0.9531689915632422
4;0;0;421468352;0;0;0.0
4;1;52876;418186192;431113639;455377048;0.9467179799540534
4;2;53011;414587568;433720423;461234773;0.9403463233679478
4;3;53046;411091648;431457878;470845769;0.9163465117597775
4;4;52991;407468240;429420154;458898613;0.9357625885872966
4;5;52894;403836816;428103421;466199937;0.9182828804200375
4;6;52787;400496832;436534225;462056096;0.9447645616604958
4;7;52990;397263904;436532867;462130839;0.9446088210529486
4;8;52813;393351040;432813363;459570355;0.9417782463361893
4;9;52892;390103712;429913969;467025549;0.9205362959703945
4;10;52855;386494016;434010934;457096364;0.9494954853764709
5;0;0;386494016;0;0;0.0
5;1;43070;383149408;346714282;378024457;0.91717420812273
5;2;43049;380202576;348621380;374874806;0.9299674835977108
5;3;43042;376860592;344671486;386652618;0.8914241620368389
5;4;43041;373908464;346256706;377506268;0.9172210777702902
5;5;42986;370569136;347955854;374477940;0.929175838769034
5;6;42980;367619664;347211654;372180439;0.9329121512482282
5;7;43059;364266864;347363464;381748258;0.9099280919312014
5;8;43037;361328152;346729820;378041416;0.9171741648539375
5;9;42970;357986224;347210301;373272992;0.9301779352951418
5;10;43072;355034096;347186776;372656550;0.9316534916667908
6;0;0;355034096;0;0;0.0
6;1;36256;351407952;289857350;326335741;0.8882182169558926
6;2;36177;348051632;288710676;313648402;0.9204914616462799
6;3;36111;344256048;290641811;321498111;0.9040233863147021
6;4;36144;340640800;291201645;321311765;0.9062900171115739
6;5;36119;337006560;290917847;315279641;0.9227295681930823
6;6;36215;333778464;290723736;322786145;0.9006698103476529
6;7;36168;329870928;289935632;326875225;0.8869917626825343
6;8;36097;326244848;291003297;316445746;0.9195993331507765
6;9;36224;322900160;289448816;330341998;0.8762095578292167
