ThreadPoolSize;RunNr;Runtime;Memory;L2-Cache-Misses;L2-Cache-References;L2-Cache-Miss-Rate
1;0;0;763349448;0;0;0.0
1;1;306216;756915392;2213787;3647416;0.6069466712872894
1;2;306511;752715768;1616628;2536631;0.637313034493389
1;3;309211;748516016;1584851;2451449;0.6464956032126306
1;4;308412;744313800;1425660;2148505;0.6635590794529219
1;5;303267;740114160;1430617;2154119;0.6641309045600545
1;6;310876;735914352;1416179;2153875;0.6575028727293831
1;7;309135;731714872;1357211;2050544;0.6618785063865978
1;8;301097;727515200;1344997;2024214;0.6644539559552498
1;9;293702;723312808;1334576;2014449;0.6625017560633205
1;10;296292;719115936;1333998;2014214;0.6622920901155488
2;0;0;719113248;0;0;0.0
2;1;117772;715211128;671094;1050330;0.6389363342949359
2;2;117321;711270440;615193;959305;0.6412903091300473
2;3;122523;707558736;628226;1000052;0.6281933339466348
2;4;118639;703591232;625326;953310;0.6559524184158354
2;5;118477;699807568;623288;946541;0.658490229160702
2;6;118100;695816824;624546;940717;0.6639042347486014
2;7;119094;691798688;610157;934154;0.6531653239187543
2;8;119320;2122817696;549285;850565;0.6457883877187517
2;9;120836;2119227808;600775;984644;0.6101443770540419
2;10;120166;2116008712;557164;895628;0.622093101153604
3;0;0;2116008712;0;0;0.0
3;1;75443;2112325920;367785;616154;0.5969043453422359
3;2;74529;2108131600;320337;531313;0.6029157953974399
3;3;74463;2103574584;322723;536742;0.6012628041032749
3;4;74403;2099742992;324698;535106;0.6067919253381573
3;5;74716;2095548688;327526;534656;0.6125920217859708
3;6;74640;2091354400;320535;522244;0.6137648302326115
3;7;74038;2087160080;322432;520258;0.6197540451083885
3;8;73721;2082603080;317231;506470;0.6263569411811164
3;9;73716;2078771472;317250;505846;0.6271671615471902
3;10;73913;2074577168;319709;515851;0.6197700498787441
4;0;0;2074577168;0;0;0.0
4;1;54084;2070382864;237617;379213;0.6266056279716149
4;2;54626;2066188576;241884;391313;0.6181343323630956
4;3;54223;2061994272;236617;378976;0.6243587984463396
4;4;53879;2058162680;232542;370144;0.6282473848015907
4;5;54476;2053968376;239723;387945;0.61793037672866
4;6;54641;2049163624;235196;372594;0.6312393650998137
4;7;55199;2044705544;226425;347400;0.6517702936096719
4;8;54598;2040511240;229586;352858;0.6506470024769171
4;9;54954;2036316936;226867;352786;0.6430725709070088
4;10;55317;2032122632;230285;359016;0.6414338079639904
5;0;0;2032122632;0;0;0.0
5;1;43737;2026953120;175342;283290;0.6189487804017085
5;2;43610;2021900632;171349;272092;0.6297465563118357
5;3;43539;2017077824;172972;277664;0.622954362106719
5;4;43302;2012025320;169637;265790;0.6382369539862297
5;5;43287;2007220568;168880;266879;0.632796136076649
5;6;43403;2002150008;170315;269063;0.632993016505428
5;7;43303;1996982544;169522;271390;0.6246435019713328
5;8;43467;1992276744;169169;266773;0.6341308903074899
5;9;43562;1987107232;177470;282183;0.6289181134228498
5;10;43611;1982054744;174744;273790;0.6382409876182475
6;0;0;1982054744;0;0;0.0
6;1;36218;1978108208;151882;234619;0.6473559259906486
6;2;36097;1973913888;150627;231854;0.6496631500858299
6;3;36053;1969208072;150710;230601;0.6535531068815833
6;4;35915;1965525280;145959;217462;0.6711931279947762
6;5;36086;1961330992;150613;231877;0.6495383328230053
6;6;36106;1957136688;151351;228890;0.6612390231115383
6;7;36222;1952942328;153180;234317;0.6537297763286488
6;8;36048;1948748048;150002;227023;0.6607348154151782
6;9;36115;1944553744;149782;229442;0.6528098604440338
6;10;36091;1940359456;149263;227869;0.6550386406224629
7;0;0;1940359456;0;0;0.0
7;1;30806;1936165152;135821;208625;0.6510293588975434
7;2;30992;1931970848;132771;205083;0.6474012960606194
7;3;30816;1927776560;133247;205677;0.6478458942905624
7;4;30871;1923582240;133631;207644;0.6435582053899944
7;5;30768;1919387936;133756;204904;0.6527739819622848
7;6;30840;1915193632;134963;209227;0.6450553704827771
7;7;30993;1910999328;138585;213546;0.6489702452867298
7;8;30894;1906805024;134387;205515;0.6539036080091477
7;9;31026;1902362984;134970;206463;0.6537248804870607
7;10;30828;1897904904;134610;206456;0.6520033324291858
8;0;0;1897904904;0;0;0.0
8;1;27070;1893098120;125296;194276;0.6449381292594042
8;2;27137;1887930672;122701;186336;0.6584932594882363
8;3;27061;1883224840;123910;188103;0.6587348420812001
8;4;26904;1878418056;122400;185805;0.6587551465245822
8;5;27215;1873250608;126413;192229;0.657616696752311
8;6;27059;1868544776;124643;190460;0.6544313766670167
8;7;27292;1863737992;127659;195955;0.6514710009951264
8;8;27223;1858570544;123157;186934;0.6588261097499652
8;9;27065;1853864712;122036;182364;0.6691890943387949
8;10;27308;1849057928;122431;184649;0.6630471868247323
9;0;0;1849057928;0;0;0.0
9;1;24396;1843378952;111626;169005;0.66048933463507
9;2;24453;1837599040;112188;170635;0.6574735546634629
9;3;24366;1832528432;114761;171285;0.6700002919111423
9;4;24399;1827475960;109614;165778;0.6612095694241696
9;5;24205;1822407432;111199;165471;0.6720150358673121
9;6;24312;1816627520;112285;169096;0.6640310829351375
9;7;24585;1811309192;112906;171545;0.6581713253082282
