ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
1;0;0;510105088;0;0;0.0
1;1;198905;505643088;2082558;14322465;0.14540499837143955
1;2;195239;502777424;1263368;8022612;0.15747589438452214
1;3;194148;499911776;997129;7670027;0.13000332332598047
1;4;195221;497520128;963181;6984911;0.1378945272173117
1;5;194176;495422976;890099;6378669;0.13954306141296877
1;6;194256;492291664;1025690;7027433;0.145955144645278
1;7;194628;489426016;953026;6180225;0.15420571257518942
1;8;194209;487034368;936810;6009149;0.15589728262687447
1;9;194572;483903056;769650;5974003;0.12883321283902938
1;10;194099;481805904;827405;5886357;0.14056317005577473
2;0;0;481805904;0;0;0.0
2;1;97576;478647808;1281693;6109342;0.20979231478610955
2;2;97568;509121200;1911960;6871786;0.27823334428633256
2;3;97150;506666288;1133773;4521853;0.25073194550994915
2;4;97373;503867984;1198354;4424862;0.27082290927943065
2;5;97349;500374832;1386304;4594633;0.30172246619044435
2;6;97443;497576528;1198534;4508821;0.2658198229648061
2;7;97205;494089184;1062887;4131872;0.25724102779563357
2;8;97103;491285072;1097561;4341365;0.2528147253225656
2;9;97247;488838368;1154185;4391644;0.26281388017790147
2;10;97384;484993616;1184826;4486927;0.2640617955228601
3;0;0;484993616;0;0;0.0
3;1;65205;481522624;1391364;6403386;0.21728566730164323
3;2;65076;478027440;1498118;6581058;0.22764090515537166
3;3;65030;474507856;1329850;4469888;0.29751304730677813
3;4;65080;471036848;1254074;4478303;0.2800333072594686
3;5;65047;467517280;1357774;4783972;0.28381729658952853
3;6;65140;464022096;1295368;4511212;0.28714412002805456
3;7;65183;460526896;1421618;5083720;0.2796412863021567
3;8;65240;506462016;1432523;4857310;0.2949210571283282
3;9;65148;502201784;1355472;4645321;0.291792967590399
3;10;64956;498091256;1199233;4257748;0.28165898968186937
4;0;0;498091256;0;0;0.0
4;1;49120;493142040;1192458;4171365;0.2858675757216163
4;2;49062;488276600;1088089;4036558;0.2695586190016346
4;3;49105;483411160;1227807;4366755;0.281171487752347
4;4;49161;478461976;1175555;4293771;0.27378148485329096
4;5;49175;473596536;1170632;4244179;0.27582060040351736
4;6;48899;468731040;1187473;4156302;0.28570421494876935
4;7;48973;463781912;998213;4050265;0.2464562195313146
4;8;49015;458916472;1058159;4024547;0.2629262374125585
4;9;48980;453969336;1102555;4083555;0.2699988123093726
4;10;48964;449775032;1210862;4293145;0.28204544686936966
5;0;0;449775032;0;0;0.0
5;1;40196;445662440;1209215;5117805;0.23627609883534054
5;2;40099;441761816;1153298;5084998;0.22680402234179836
5;3;40081;437567512;1170693;5109642;0.22911448590723185
5;4;40291;434421784;1142614;5123508;0.22301399744081593
5;5;40227;430227480;1331752;5424484;0.24550759113677909
5;6;39951;426706360;1042118;3937524;0.2646632757032084
5;7;39948;422887448;1017524;3952275;0.25745273291964754
5;8;39844;418693144;1018932;3902124;0.26112240410607146
5;9;39917;415547416;1188079;4851704;0.24487870653279756
5;10;39943;411353112;1127361;4374214;0.257728817108628
6;0;0;411353112;0;0;0.0
6;1;33555;406781368;1154627;5522843;0.20906388249675031
6;2;33606;402964504;986762;3993050;0.24711987077547237
6;3;33594;398392760;1012604;3839697;0.2637197674712354
6;4;33635;394575896;1116685;4670535;0.23909145312046692
6;5;33618;389710456;998770;4010471;0.24904057403731383
6;6;33624;385138712;988101;3965570;0.2491699806080841
6;7;33582;381321848;993497;4347910;0.22849989995193093
6;8;33560;377127544;1033010;4028233;0.2564424649716141
6;9;33635;504593488;940955;3757038;0.2504512863590946
6;10;33609;498304080;936778;3726386;0.25139048933739017
7;0;0;498304080;0;0;0.0
7;1;28988;492012624;930209;3985861;0.2333771799869589
7;2;28920;484668496;985015;4064036;0.2423735911788183
7;3;28963;478381136;939774;4145469;0.22669907795716238
7;4;29018;471039056;889295;3802989;0.2338410655408154
7;5;28993;463690816;888867;3763072;0.23620781106500222
7;6;29013;457405520;1009647;3844956;0.26259000102992075
7;7;28992;450069584;919195;4141051;0.221971427060425
7;8;29041;443780176;961308;4245495;0.22643013358866282
7;9;29091;436434000;984818;4239047;0.23232061357187123
7;10;29059;430142544;1115228;4485219;0.2486451609163343
8;0;0;430142544;0;0;0.0
8;1;25426;421753936;927685;3869900;0.23971808057055738
8;2;25362;414415952;921476;4050041;0.2275226349560412
8;3;25696;406027344;986747;4961621;0.19887593187790845
8;4;25553;398685264;973970;5027998;0.19370930537362982
8;5;25879;390296656;1159284;5327007;0.21762389274127103
8;6;25552;382958672;1095056;4967029;0.2204649902386316
8;7;25589;374570064;986130;5000250;0.19721613919304035
8;8;25376;366181456;844115;3744912;0.22540316034128438
8;9;25342;358839376;953210;4130753;0.23075937970631505
8;10;25320;350450768;849349;3621197;0.23454923882903914
9;0;0;350450768;0;0;0.0
9;1;23000;342062160;881116;4141360;0.21276005949736318
9;2;22986;332627024;866394;4101313;0.21124795888536183
9;3;22949;324238416;1385599;12536248;0.11052740820060356
9;4;23009;315849808;996538;4297144;0.2319070526842945
9;5;23056;306410576;1156574;4468251;0.2588426657320728
9;6;23085;298021968;1061510;4401436;0.24117356244643792
9;7;23046;288586832;881923;4173619;0.2113089383578137
9;8;23014;280198224;896884;4207188;0.21317896894552846
9;9;22969;270758992;872916;4114739;0.2121437106946516
9;10;23072;262370384;958802;4163241;0.23030182494839957
