ThreadPoolSize;RunNr;Runtime;Memory;L2-Cache-Misses;L2-Cache-References;L2-Cache-Miss-Rate
1;0;0;1674991920;0;0;0.0
1;1;323701;1671883904;1229517;1870808;0.6572117502170185
1;2;323239;1668801416;1219413;1873775;0.6507787754666382
1;3;323426;1665690976;1227668;1883453;0.6518176986630407
1;4;326457;1662608544;1234492;1897840;0.6504721156683387
1;5;324612;1659498048;1229750;1886950;0.6517130819576565
1;6;324197;1656415560;1224913;1885452;0.6496654383139958
1;7;323323;1653333144;1230194;1886258;0.6521875586478626
1;8;324731;1650321216;1235442;1885929;0.6550840461120222
1;9;325716;1647238744;1229101;1885480;0.6518769756242442
1;10;326229;1644128248;1230888;1891031;0.650908419798512
2;0;0;1644128248;0;0;0.0
2;1;128043;1641038672;518373;801821;0.6464946665153445
2;2;123602;1637336992;507090;781919;0.6485198594739353
2;3;127657;1633438272;518411;797124;0.6503517645937144
2;4;127369;1630238496;521490;797583;0.653837907778877
2;5;124987;1626555536;515378;784432;0.6570078732127195
2;6;124668;1622755456;505633;771016;0.6558009172312896
2;7;127026;1618856736;518951;805450;0.6442994599292321
2;8;125988;1615558432;515740;795677;0.6481775896500716
2;9;123743;1611974144;511643;791343;0.6465502316947266
2;10;127444;1608173936;522232;799235;0.6534148279292074
3;0;0;1608173936;0;0;0.0
3;1;76390;1604078144;324102;522488;0.620305155333711
3;2;75392;1599883840;321463;512033;0.6278169571101863
3;3;74839;1595689536;316302;507578;0.6231593961913243
3;4;75095;1591495232;320403;512092;0.6256746834553166
3;5;75905;1587300928;322588;510055;0.6324572840183902
3;6;77464;1583106640;328153;524056;0.6261792632848397
3;7;74605;1578912320;321615;507339;0.6339252452502173
3;8;75306;1574718016;321393;512485;0.6271266476091983
3;9;74316;1570523728;310899;492108;0.6317698553975957
3;10;74448;1566329424;312287;497865;0.6272523676096934
4;0;0;1566329424;0;0;0.0
4;1;54827;1562930528;237431;373245;0.6361264049083042
4;2;54746;1559643840;233599;368608;0.6337328544144457
4;3;54302;1555646608;234563;373943;0.6272693966727549
4;4;54456;1552346240;237278;379003;0.6260583689311167
4;5;55348;1549059496;240860;381412;0.6314956005579269
4;6;54208;1545259376;235769;368435;0.6399202030208856
4;7;54439;1541959008;237444;374576;0.6339007304258681
4;8;54427;1538672264;236748;371401;0.6374457796290263
4;9;55354;1534675088;238041;377401;0.6307375974096519
4;10;54548;1531374720;237185;373399;0.6352052362218431
5;0;0;1531374720;0;0;0.0
5;1;43464;1527377472;195114;309807;0.6297920963696754
5;2;43221;1523183168;191976;298906;0.6422621158491298
5;3;43257;1518988864;192032;298277;0.6438042490704948
5;4;43356;1514794560;193413;302387;0.6396207508920688
5;5;43317;1510501728;194344;303814;0.6396808573666783
5;6;43495;1506405952;194868;303222;0.642657854641154
5;7;43336;1502211648;191530;300696;0.6369555963498018
5;8;43221;1498017344;191560;300724;0.6369960495337917
5;9;43371;1493823040;193050;306539;0.6297730468227534
5;10;43394;1489628752;193987;309213;0.6273571939084062
6;0;0;1489530200;0;0;0.0
6;1;36008;1484441968;164207;257701;0.6371997004280154
6;2;35889;1479255184;163499;256397;0.637679068007816
