ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
1;0;0;325512760;0;0;0.0
1;1;192747;322050208;1535793;8983304;0.1709608179796654
1;2;192769;318793536;1257329;6668574;0.1885454071590118
1;3;192761;315470304;1259621;6626501;0.19008840412157185
1;4;192920;312104896;1273086;6732782;0.18908766094015816
1;5;192705;308759760;1305028;8654853;0.1507856921428937
1;6;193153;305531144;1361145;6924635;0.19656559515411282
1;7;192745;302188912;1140137;6505034;0.1752699524706558
1;8;192855;298965136;1205931;6645872;0.18145564645241438
1;9;192834;295615232;1195662;6681495;0.17895126764294517
1;10;193198;292275584;1361454;7012079;0.19415839439344593
2;0;0;292275584;0;0;0.0
2;1;96689;288843176;1849223;5455535;0.3389627231793032
2;2;96689;285576800;1505196;5013885;0.3002055292452858
2;3;96665;282204320;1486316;4893004;0.30376349579930856
2;4;96809;278897472;1449545;5098193;0.2843252501425505
2;5;96651;275513264;1327931;5015455;0.26476780272178696
2;6;96456;272065968;1231905;5240984;0.23505223446589418
2;7;96730;268681728;1611060;5548203;0.2903750998296205
2;8;96917;265410704;1476837;5376196;0.2746992483160956
2;9;97040;262079216;1305306;5132575;0.25431795930892387
2;10;96633;258736048;1400990;4929087;0.2842291077434827
3;0;0;258736048;0;0;0.0
3;1;64720;255419816;1345038;4644068;0.289624958118615
3;2;64845;251919360;1396313;4834196;0.2888407917262767
3;3;64865;248649888;1370766;4865552;0.281728774042493
3;4;64818;245230304;1386092;4810778;0.28812221224924534
3;5;64847;241814816;1380587;4893568;0.2821227783081792
3;6;64869;238254864;1378074;4879140;0.2824419877273454
3;7;64735;234736368;1364801;4935171;0.2765458380266864
3;8;64841;231345488;1538468;5110373;0.30104808396569094
3;9;64710;228055488;1362419;4787687;0.28456726598877496
3;10;64731;224656416;1421633;4931307;0.2882872633969047
4;0;0;224656416;0;0;0.0
4;1;48918;221386912;1231892;4583329;0.2687766904797801
4;2;48808;218237272;1122849;4485830;0.2503101990044206
4;3;48825;215054432;1241931;4560301;0.272335312954123
4;4;48890;211675840;1192244;4340438;0.27468287762663585
4;5;48692;208276768;1209642;4218143;0.28677121662304955
4;6;48723;205001576;1306586;4754578;0.27480588182589494
4;7;48737;201808424;1176583;4379502;0.26865680161808353
4;8;48937;198440160;1326998;4703064;0.2821560582632939
4;9;48766;195168672;1236131;4630207;0.2669710015124594
4;10;48791;503837272;1332296;4946460;0.26934332836007974
5;0;0;503837272;0;0;0.0
5;1;39708;500034896;1201131;4324349;0.2777599587822352
5;2;39698;496464864;1262632;4144432;0.30465742953437286
5;3;39691;492387784;1138573;4244504;0.268246419369613
5;4;39674;488811664;1166781;4312768;0.2705411002864054
5;5;39741;485360960;1299610;4539926;0.28626237520171033
5;6;39694;481784784;1232071;4195277;0.29368048879728326
5;7;39736;477699616;1309778;4434901;0.2953342137738813
5;8;39717;474131616;1285810;4367439;0.2944082332918674
5;9;39662;470680896;1161998;4294324;0.27058927086079204
5;10;39742;467104752;1059894;4404607;0.24063304626269721
6;0;0;467104752;0;0;0.0
6;1;33414;463645840;1080846;4094285;0.26398895045166615
6;2;33463;460189008;986204;3840127;0.2568154646968707
6;3;33417;456802816;1093239;4007749;0.2727813044180162
6;4;33385;453343936;923419;3674855;0.2512803906548694
6;5;33454;449959808;1114903;4131086;0.26988133386717195
6;6;33413;446066640;1053105;4014816;0.2623046734893953
6;7;33368;442607760;984640;3737895;0.2634209896211638
6;8;33362;439223632;1099119;4232892;0.25966147966921904
6;9;33375;436199008;986739;3854718;0.2559821496669795
6;10;33343;432740128;1104386;4204981;0.2626375719652479
7;0;0;432740128;0;0;0.0
7;1;28854;428804416;925977;3897390;0.23758900187048254
7;2;28898;424793968;1070357;4244894;0.2521516438337447
7;3;28803;420967392;887467;3984661;0.22272082869784907
7;4;28923;417140784;1309138;4783624;0.27367075673171637
7;5;28888;413314208;964646;4218402;0.22867569283344735
7;6;28833;409237184;1056473;4459738;0.2368912702943536
7;7;28821;405663056;925953;4044951;0.2289157520078735
7;8;28782;401725296;1052692;4227108;0.2490336182562641
7;9;28752;397898720;900062;3859697;0.23319498914033926
7;10;28802;394072112;1029939;4300563;0.2394893412792697
8;0;0;394072112;0;0;0.0
8;1;25221;389693952;850840;4149519;0.20504545225603257
8;2;25233;385683504;874284;3788793;0.2307552827509975
8;3;25230;381305344;1032729;4126277;0.25028106450439463
8;4;25290;376927184;899045;3932242;0.22863419901420107
8;5;25202;372916736;1277933;4433483;0.28824583290383654
8;6;25194;368538576;880332;4003102;0.21991245788890715
8;7;25251;364160432;1002199;4408951;0.2273100789734338
8;8;25273;359782272;870219;4089593;0.21278865647510645
8;9;25289;355521408;872949;4031817;0.21651503528061913
8;10;25241;351143232;1021064;4309348;0.23694164407237475
9;0;0;351143232;0;0;0.0
9;1;22913;347484144;894655;4504713;0.19860421740519318
9;2;22826;344475888;1087981;4286435;0.25381954934578504
9;3;22870;340657472;860969;4281396;0.2010953903820156
9;4;22821;337632864;818766;4165875;0.1965411828247367
9;5;22794;333990128;991353;4250051;0.23325673033100072
9;6;22840;330171712;873959;4379540;0.19955497609337966
9;7;22788;327147104;849485;4076536;0.20838402997054362
9;8;22805;323504368;964457;4280572;0.22531030899608745
9;9;22835;319685952;858279;4162977;0.20616952723976134
9;10;22780;316661344;963988;4337580;0.22224097307715363
10;0;0;316661344;0;0;0.0
10;1;20704;312650896;912255;4230714;0.21562672399977875
10;2;20729;308640448;850327;4097030;0.20754717441658957
10;3;20689;304999760;945333;4253003;0.22227423775623953
10;4;20702;301245856;832163;4112724;0.20233864465497806
10;5;20695;297235408;775433;3961079;0.1957630736473572
10;6;20725;293158400;1242472;4616439;0.26914078145514325
10;7;20780;289766096;871008;4365046;0.19954153976842398
10;8;20718;285755648;838201;4189848;0.20005522873383474
10;9;20753;281745184;1019045;4440943;0.22946590397579975
10;10;20768;277736784;876708;4182094;0.20963373850516034
11;0;0;277736784;0;0;0.0
11;1;18996;273982880;846642;4473413;0.1892608618967218
11;2;19010;269604720;976484;4724592;0.20668112717457932
11;3;18987;265160000;850502;4524705;0.18796849739375274
11;4;18999;261399968;823249;4396273;0.18726066374858885
11;5;18996;257021808;1188113;4850012;0.24497114646314277
11;6;18955;252577104;797435;4237344;0.18819217887431372
11;7;18969;248817056;826521;4223655;0.1956885683134631
11;8;18975;244622752;982632;4527265;0.21704759937843268
11;9;18955;240428448;978737;4601955;0.2126785246704933
11;10;18990;236234144;985278;4534005;0.21730853847757114
12;0;0;236234144;0;0;0.0
12;1;17410;231855984;859172;4667198;0.18408732605730463
12;2;17457;227405136;823823;4472297;0.18420578955288525
12;3;17364;222841072;802207;4455689;0.18004106660047414
12;4;17474;218279056;796815;4397802;0.18118482823919768
12;5;17413;214452464;926028;4704977;0.19681881547986313
