ThreadPoolSize;RunNr;Runtime;Memory;L2-Cache-Misses;L2-Cache-References;L2-Cache-Miss-Rate
1;0;0;1900174856;0;0;0.0
1;1;516784;2093557304;3458756706;25580345827;0.13521149125158777
1;2;528891;2019080424;3469348496;25580779531;0.13562325150395355
1;3;529214;1946605704;3475690793;25580907502;0.13587050391891917
1;4;523298;1871066840;3470336245;25580727282;0.13566214153113304
1;5;512344;1798591544;3463068970;25580520388;0.13537914465667203
1;6;499934;1726122440;3461597494;25580094152;0.13532387619180644
1;7;504840;1651649352;3467544180;25580333218;0.13555508251002799
1;8;524426;1579182312;3467669515;25580767530;0.1355576806260121
1;9;501985;1504692824;3457339029;25580316324;0.13515622657708304
1;10;523055;1431177208;3471960636;25580681123;0.1357258870201976
2;0;0;1431177208;0;0;0.0
2;1;154526;1348710576;1218978099;9035732812;0.13490639047904596
2;2;154368;1263504288;1216274412;9008242799;0.13501794291501756
2;3;148792;1178137760;1245156544;9246791594;0.1346582251089069
2;4;152628;1093981616;1246957409;9221252390;0.13522646992639142
2;5;150183;1009590896;1248525363;9274181991;0.13462377212476678
2;6;149124;924814240;1244458358;9247365040;0.13457437363151828
2;7;153166;841700608;1230179901;9114708311;0.13496645850041838
2;8;149976;2191785872;1249797857;9301016078;0.13437218541705223
2;9;150427;2106663840;1230926890;9167570255;0.13426969805098046
2;10;153632;2022052240;1228301631;9087931519;0.13515744792222614
3;0;0;2022052240;0;0;0.0
3;1;87564;1930986096;693414097;5251107142;0.13205102814487574
3;2;87852;1836532944;709687522;5384164119;0.1318101577727928
3;3;88536;1745155600;692487467;5251098721;0.13187477588844973
3;4;88812;1649889168;688809299;5224208583;0.13184950180615712
3;5;88696;1554661328;696582860;5278033591;0.13197772389849877
3;6;88428;1458527040;696740461;5276955893;0.1320345432343374
3;7;87832;1363614016;688801245;5250297267;0.13119280870615893
3;8;88742;1269109056;696143799;5304626484;0.13123333020708117
3;9;88556;1172318192;690839733;5250593644;0.131573642875495
3;10;88497;1078861808;685946258;5223868085;0.1313100267538628
4;0;0;1078861808;0;0;0.0
4;1;61384;973361056;507644779;3865748240;0.1313186341902079
4;2;60820;869527264;509424988;3865705753;0.13178059080276822
4;3;61540;2189717632;505383639;3838827249;0.13165052924214043
4;4;61860;2081535040;513407448;3918481038;0.13102205753228402
4;5;61531;1973137472;508772531;3865131522;0.13163136315132098
4;6;62313;1870946704;501471739;3812663612;0.13152792641387634
4;7;61236;1766283248;499376785;3812067661;0.1309989300843105
4;8;61144;1660196160;503175669;3811817842;0.13200412240475579
4;9;61236;1555697360;508689400;3865102671;0.13161083761544404
4;10;60003;1458176672;505033266;3837967226;0.13158873858502304
5;0;0;1458176672;0;0;0.0
5;1;48211;1339470128;377265728;2876881472;0.13113704254827221
5;2;47947;1221904528;378084939;2878927148;0.13132841491409633
5;3;48694;1104899520;381106994;2904240662;0.13122431587248398
5;4;47488;986172816;381432252;2905034140;0.13130043697180097
5;5;47846;867739280;381809004;2904820951;0.13143977217203706
5;6;47331;2171211024;378659007;2878555342;0.13154480703397226
5;7;47436;2055746192;381794376;2905735684;0.13139336041550295
5;8;47658;1941473264;376035500;2851534217;0.13187129151675195
5;9;47310;1825757792;387648444;2932346790;0.13219733945588338
5;10;47113;1708718288;379479587;2878038561;0.1318535450296908
6;0;0;1708718288;0;0;0.0
6;1;38663;1585618528;327471134;2479344327;0.13207973190082847
6;2;40207;1457536608;302924028;2290051030;0.1322782872659392
6;3;38892;1327371632;317166861;2425710321;0.13075215876116975
6;4;39230;1193872896;303386020;2316575971;0.13096312134716517
6;5;38919;1061905904;307947197;2344856624;0.13132879590509242
6;6;38706;927679952;308419014;2370943534;0.13008281706298958
6;7;38628;801102464;316429736;2425108304;0.1304806616174945
6;8;39146;2097889184;313281160;2397760169;0.13065575283563732
6;9;39517;1968885632;308401972;2343728732;0.13158603544396877
6;10;39385;1842228624;315546204;2398360146;0.13156748144196356
7;0;0;1842228624;0;0;0.0
7;1;33499;1708315920;255336647;1942868264;0.13142252191319956
7;2;34216;1574507232;260500783;1970769096;0.13218229549505783
7;3;33437;1443149104;259561171;1971383023;0.13166450556371662
7;4;33459;1307663696;265518807;1999678729;0.1327807327994036
7;5;33156;1174489856;263332026;1996026123;0.13192814611274503
7;6;33026;1043577904;264631446;1998665583;0.13240406411701341
7;7;33553;911574848;270237199;2052050127;0.13169132441958128
7;8;33704;2204986448;259965209;1971764699;0.13184393103895406
7;9;33079;2077387728;258118653;1970903853;0.13096460926143413
7;10;32976;1948717032;258289102;1970595644;0.1310715888297173
8;0;0;1948717032;0;0;0.0
8;1;29391;1803667568;221627909;1677893350;0.132087006006669
8;2;29919;1664511584;223138344;1676724290;0.13307992574020622
8;3;28832;1527087296;226512075;1705056981;0.13284721714529024
8;4;29139;1388361424;225319274;1702003321;0.13238474403658346
