ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
1;0;0;1987046688;0;0;0.0
1;1;195816;2111026040;72656543;3294183486;0.022056009724043646
1;2;195457;2010345192;65383453;3280660282;0.01992996756132886
1;3;196324;1912810664;60443841;3412388496;0.017713059656264882
1;4;194935;1814200856;58305666;3278284458;0.017785420010675596
1;5;196188;1714553400;63717819;3362915475;0.018947196108162666
1;6;195138;1614918792;62710405;3276788879;0.019137761789260514
1;7;195682;1515365592;62191629;3288203052;0.01891356099866548
1;8;195987;1416770728;59320199;3395028390;0.01747266655404905
1;9;195539;1316083416;63697887;3291962441;0.019349518149620954
1;10;195137;1218542232;61597633;3275178639;0.01880741168329292
2;0;0;1218542232;0;0;0.0
2;1;98660;1106516176;85308652;3341723740;0.02552833765965346
2;2;98915;994898704;82749659;3350858429;0.024695062699111123
2;3;98984;885832192;81611874;3312956215;0.024634154122076136
2;4;98768;2200723184;82913890;3330703459;0.02489380727544379
2;5;99013;2090118336;83460129;3341007036;0.02498053075036984
2;6;98839;1979468640;81002711;3320564106;0.024394262063374843
2;7;98866;1867234672;82507594;3283234512;0.025129972805305354
2;8;98637;1757381520;84271571;3302696104;0.025515993099678783
2;9;98687;1644953232;80406696;3269398139;0.02459373027740015
2;10;98858;1533787536;87540559;3311831264;0.02643267486226617
3;0;0;1533787536;0;0;0.0
3;1;66397;1412178192;77426997;3348214151;0.023124864034421197
3;2;66449;1290463840;77510027;3347571943;0.023154103427733264
3;3;66294;1168031088;77976201;3364509505;0.023176097699863684
3;4;66351;1046264528;78429953;3345501111;0.023443409641121474
3;5;66445;923633056;77957055;3346255230;0.02329680482860239
3;6;66300;2224681968;79386220;3342088378;0.02375347717390614
3;7;66251;2103279328;79336368;3324907459;0.023861225907280206
3;8;66188;1982540288;74978475;3302858356;0.022701087033839485
3;9;66025;1860005088;72845240;3291311141;0.02213258998596754
3;10;66035;1737094240;72842673;3295962344;0.02210057803985639
4;0;0;1737094240;0;0;0.0
4;1;50149;1605300144;77435677;3321943193;0.02331035556633614
4;2;50009;1475507008;72888381;3322181290;0.021939916770767197
4;3;49759;1346123584;72126811;3307112728;0.021809601586704665
4;4;50006;1216650400;80887598;3356261212;0.02410050734751929
4;5;50114;1085360464;83924140;3348263058;0.025064978033754
4;6;50209;953980528;81692924;3362168860;0.02429768622626527
4;7;49993;828543904;79580268;3343333237;0.023802673068691178
4;8;50056;2125869568;83900577;3352800136;0.02502403173369473
4;9;49941;2000804384;79143832;3332233281;0.023750987798864132
4;10;49848;1872792728;81470101;3351471625;0.02430875451615975
5;0;0;1872792728;0;0;0.0
5;1;40686;1727900192;82149076;3374294488;0.024345556172452248
5;2;40790;1583153816;83843802;3410110929;0.024586825398253784
5;3;40633;1437343456;76437338;3384244187;0.02258623603273696
5;4;40781;1296056144;78928924;3359749267;0.023492504269664597
5;5;40672;1153346448;73268999;3350671427;0.021866960278346625
5;6;40759;1009693312;79033961;3367978289;0.023466291709221883
5;7;40702;865964928;75946686;3368084734;0.02254892379438575
5;8;40354;2139957552;69665252;3331456934;0.02091134701127732
5;9;40687;1996539184;78662106;3358639963;0.023420821185530568
5;10;40723;1852745792;83626172;3357846097;0.024904706643557643
6;0;0;1852745792;0;0;0.0
6;1;34279;1697263856;75614803;3350977675;0.02256499754209792
6;2;34331;1542129104;79014233;3383898037;0.023350063192226142
6;3;34321;1384818016;75375888;3379819604;0.02230174885984832
6;4;34256;1231597792;73923679;3370396240;0.021933230912932658
6;5;34250;1074354896;74252843;3363896772;0.02207346064185349
6;6;34460;919251280;77478214;3364266783;0.023029747340937913
6;7;34190;2177625168;72371031;3350208815;0.02160194632524719
6;8;34446;2019198608;80529194;3393799543;0.023728329555025813
6;9;34109;1862406496;69668884;3336018328;0.020883843297637903
6;10;35167;1705735920;88548444;3415366909;0.025926480626916444
7;0;0;1705735920;0;0;0.0
7;1;29660;1539324592;80177329;3409177285;0.023518087297123357
7;2;29632;1370301792;74117771;3383419766;0.021906170716625175
7;3;29550;1202639520;75564988;3382558535;0.022339595078138094
7;4;29587;1040088192;78418182;3401757197;0.02305225724785907
7;5;29651;877735264;79455164;3411504425;0.023290359355169238
7;6;29630;2127451440;77595697;3394485711;0.022859338234521735
7;7;29566;1962853024;80289074;3389707857;0.023686133846076752
7;8;29564;1801331408;71837210;3361770291;0.02136886336116414
7;9;29604;1639846608;78466469;3382761104;0.023195982981835776
7;10;29686;1479913248;77948505;3393504670;0.02296991240032683
8;0;0;1479913248;0;0;0.0
8;1;26045;1308529104;76342071;3394964659;0.02248685293309853
8;2;25867;1135484768;69833068;3373192089;0.020702369197332718
8;3;25992;959331440;73461006;3376683774;0.021755370332762466
8;4;25971;2193505120;72527086;3390357994;0.02139216157360166
8;5;25812;2016284704;69292207;3370973599;0.020555547222486568
8;6;26101;1837577392;81295640;3407259641;0.023859537741638164
8;7;25892;1661877872;73471447;3373494015;0.02177903582259653
8;8;25964;1485055824;74285717;3385122031;0.02194476781625956
8;9;25970;1314944976;77808491;3403286833;0.022862748518734682
8;10;26101;1141686992;79099712;3406881106;0.02321763206256133
9;0;0;1141686992;0;0;0.0
9;1;23398;953035088;74512760;3398882298;0.02192272443321896
9;2;23470;2168411776;77777441;3382957304;0.02299096146086034
9;3;23346;1973238704;69942980;3347894297;0.02089163330594843
9;4;23419;1772803872;72328008;3366690691;0.021483413428311286
9;5;23602;1577796256;79044212;3387591269;0.023333456052782146
9;6;23623;1386056208;73761028;3367461211;0.021904046811008687
9;7;23801;1193957984;82855455;3399626051;0.024371932017531184
9;8;23962;1003065328;83097998;3411223947;0.02436017080411285
9;9;23763;2215283040;79197167;3381961250;0.023417526442681743
9;10;23780;2016145184;80304693;3389629143;0.023691291764421793
10;0;0;2016145184;0;0;0.0
10;1;21467;1822756816;73459931;3362518845;0.021846697189291144
10;2;21893;1631806960;79597389;3374961048;0.023584683754252326
10;3;21658;1444167888;75116417;3379764864;0.022225338158909272
10;4;21523;1260725248;74510455;3389717783;0.021981315191985113
10;5;21616;1069718288;83185942;3430111095;0.024251675731803084
10;6;21552;875892000;77231044;3398493238;0.022725083909671148
10;7;21521;2095381056;71199160;3379731272;0.02106651513682831
10;8;21642;1904453248;81104862;3419664056;0.023717201652512267
10;9;21695;1716398080;73192442;3363435423;0.021761215184775678
10;10;21510;1524891648;75277811;3400069940;0.022140077212646984
11;0;0;1524891648;0;0;0.0
11;1;19895;1316823216;80812859;3419415621;0.023633529221688022
11;2;19893;1098646528;77684466;3396553952;0.022871553668169144
11;3;19918;890782912;84022939;3422079656;0.024553180359984
11;4;19842;2083355184;77548096;3384489995;0.022912786302977387
11;5;19941;1878845536;74518849;3372171247;0.022098180531695873
11;6;20112;1660767200;78940411;3388162340;0.023298886853219673
11;7;19962;1439441360;74535638;3370186132;0.022116178478180266
11;8;19530;1229788832;72725923;3380978927;0.021510315376183354
11;9;19866;1023183216;76916088;3388211051;0.02270109117827796
11;10;19727;2208143552;75197679;3383063857;0.022227685369995663
12;0;0;2208143552;0;0;0.0
12;1;18518;1993573056;80549485;3391384324;0.02375121109983641
12;2;18334;1776452384;69992435;3362113591;0.020817986396224647
12;3;18658;1561799520;81246782;3405535824;0.023857268341570675
12;4;18780;1344429680;83359257;3387354326;0.024608957014082382
12;5;18438;1134976096;78509306;3394248946;0.02313009659840077
12;6;18766;920896336;76822251;3339674616;0.023002914904330308
12;7;19190;2109981616;85050151;3372364510;0.025219738479574972
12;8;18885;1899283776;81751679;3389560253;0.024118668174623537
12;9;18438;1690604512;79062509;3385349457;0.023354312458502568
12;10;18521;1478859840;76189206;3382588551;0.0225239353977817
13;0;0;1478859840;0;0;0.0
13;1;18731;1253635888;77592232;3301901383;0.023499257851699443
13;2;18575;1036650784;75566552;3303481871;0.022874819645105297
13;3;18419;2242561160;73697312;3276039831;0.022495853469981817
13;4;18662;2020060288;84222256;3328946334;0.025299974090840963
13;5;18596;1801263072;79604462;3294048899;0.024166144596143108
13;6;18839;1574097440;82704598;3300138413;0.025060948254233117
13;7;18962;1353340288;81516040;3283472123;0.024826170878381477
13;8;18563;1126347248;78966498;3292514371;0.023983645658626648
13;9;18467;898962688;78143431;3298056102;0.023693784636535573
13;10;18950;2075994480;83630735;3299924487;0.025343226891846145
14;0;0;2075994480;0;0;0.0
14;1;18550;1835624608;77392791;3200176919;0.02418391012712632
14;2;18878;1592925456;83428584;3206311901;0.026020108640703324
14;3;18573;1361489392;72305915;3169051623;0.022816262908191824
14;4;18354;1125675264;73068829;3214016709;0.02273442723411803
14;5;18668;888405104;76482242;3188168809;0.02398939534948571
14;6;18753;2051683472;79108288;3198139355;0.024735722624569623
14;7;18597;1811964000;78879051;3226601036;0.024446484123672736
14;8;18675;1569788896;85242758;3259328070;0.026153475860440156
14;9;18555;1336491552;78520305;3217053194;0.024407524608683857
14;10;18844;1105636560;82188161;3228698001;0.025455512090181393
15;0;0;1105636560;0;0;0.0
15;1;18644;855170480;83321821;3122248253;0.026686481742744367
15;2;18574;2011570864;78886083;3097626905;0.025466618614613305
15;3;18413;1758967392;74896216;3088479313;0.024250191893708823
15;4;18270;1512264656;71296186;3094087979;0.023042714520045002
15;5;18452;1265263856;78336839;3134242351;0.024993867808277854
15;6;18402;1018465904;79129331;3133111345;0.025255831116975512
15;7;18533;2163646656;78437488;3152444836;0.02488147837014205
15;8;18574;1911044256;81682336;3143353025;0.02598573413496882
15;9;18474;1664525456;82925760;3138967289;0.02641816634744804
15;10;18529;1417588800;81507044;3151562082;0.02586242691061797
16;0;0;1417588800;0;0;0.0
16;1;18524;1162125216;80056418;3007112009;0.02662235984572532
16;2;18367;909474544;77632447;3023924262;0.02567274847970382
16;3;18466;2043280144;78353490;3002298983;0.026097830510439873
16;4;18501;1781422656;81760842;3031268915;0.026972480598937556
16;5;18490;1518268000;79459029;3016474731;0.026341685605189312
16;6;18443;1255054272;80829495;3044270556;0.02655135064808609
16;7;18343;995830816;75685317;3007738106;0.025163532971510652
16;8;18393;2137433968;75201236;3028576626;0.02483055417994235
16;9;18378;1880803680;79831084;3034171381;0.02631067068258001
16;10;18517;1621752112;80874144;3044139716;0.026567159048228126
17;0;0;1621752112;0;0;0.0
17;1;18144;1354225768;74137178;2911696081;0.0254618531390605
17;2;18233;1089690848;80348961;2956524013;0.027176833554099736
17;3;18215;821130112;75942132;2902514564;0.026164255277790226
17;4;18121;1979040704;75520767;2928583790;0.02578747012732731
17;5;18228;1713069040;80234046;2940328480;0.027287443068265624
17;6;18343;1435620048;81266658;2931150853;0.027725170786356657
17;7;18236;1166896304;79225282;2936200921;0.02698224138320131
17;8;18360;895160256;82518196;2935400408;0.02811139351725538
17;9;18254;2026594512;80269588;2934140846;0.027357101179866127
17;10;18160;1759330208;75629811;2927926273;0.025830503895341767
18;0;0;1759330208;0;0;0.0
18;1;17828;1485472128;71367669;2768338961;0.025779960476451206
18;2;18112;1210674112;80633934;2819213599;0.028601569610972922
18;3;18121;935300128;82401605;2843501169;0.0289789242565984
18;4;18114;2049919184;78148943;2817993306;0.0277321251379864
18;5;17942;1765804256;72701619;2770233827;0.026243856490169123
18;6;18061;1481676208;74576369;2773599725;0.026887934956079503
