ThreadPoolSize;RunNr;Runtime;Memory;L2-Cache-Misses;L2-Cache-References;L2-Cache-Miss-Rate
1;0;0;1672461224;0;0;0.0
1;1;462975;1412924272;615644669;3005244137;0.20485679064149856
1;2;464032;1699031600;621209421;3012339314;0.2062215959911613
1;3;463429;1985372016;622048381;3012026349;0.2065215602136155
1;4;462690;2270776424;621194568;3012342592;0.20621644086888774
1;5;464042;1534413696;620911604;3012342148;0.20612253638327407
1;6;464692;1820518960;622234007;3012139574;0.2065754231214785
1;7;464836;2106734944;621396923;3012307209;0.20628603920059205
1;8;462828;1373746736;620868318;3012247003;0.20611467697757055
1;9;464618;1660089216;621659019;3012258393;0.20637639202687086
1;10;464249;1946190384;621650362;3012133849;0.20638205111847271
2;0;0;1946190384;0;0;0.0
2;1;152807;2063463408;200758934;974238772;0.20606748547675333
2;2;143633;2195075992;194362709;955132420;0.20349294498871684
2;3;146520;1314819104;208626640;1034765739;0.2016172667270732
2;4;151884;1446894608;219164630;1094175805;0.200301111575027
2;5;143268;1600299216;196071859;981605858;0.1997460155744099
2;6;151450;1739476832;205617881;1024568391;0.20068731653854038
2;7;146698;1875751264;194010583;952837673;0.20361346795741145
2;8;154570;1996179472;197654173;954304304;0.20711860165727597
2;9;162205;2129062144;197084987;943234558;0.20894589296843807
2;10;163389;2259512072;198553704;951656380;0.20864012281407707
3;0;0;2259512072;0;0;0.0
3;1;89744;2196770576;133215929;637660362;0.20891361128700672
3;2;86910;2150703712;135243735;645939536;0.20937522393736865
3;3;88499;2114081032;135325225;643149261;0.2104102938555658
3;4;88275;2076406736;134514280;642473884;0.20936925741249274
3;5;91425;1997840880;133006616;634444271;0.20964270950127312
3;6;90107;1931160768;134878285;649302236;0.20772804638855424
3;7;90385;1881594704;134243700;643944072;0.2084710549210553
3;8;88440;1794400272;133451834;637147577;0.20945199953259808
3;9;90283;1732727184;135478256;646886557;0.20943124344443595
3;10;91095;1650766688;133791491;640890299;0.20875880194903684
4;0;0;1650766688;0;0;0.0
4;1;61464;1394862432;97809562;461558289;0.2119116140496829
4;2;61055;2167019792;97149506;458212895;0.21201827155038927
4;3;61015;1932569072;96388557;452162404;0.21317242686988191
4;4;62789;1646380368;96585781;452742606;0.21333486117716963
4;5;64505;1367403328;95611778;453006127;0.2110606729166822
4;6;63600;2065342208;94619715;446525848;0.21190198825847142
4;7;64930;1757370192;97825812;465554926;0.21012732663041353
4;8;64412;1486792016;97856189;462533440;0.21156565242072012
4;9;64497;2236683152;98158364;465282172;0.21096523767087297
4;10;63013;1986625504;96727124;458814770;0.2108195514281286
5;0;0;1986625504;0;0;0.0
5;1;50983;1515992384;73894766;343054440;0.21540244749492238
5;2;50507;2011558304;74927595;346602993;0.21617699937172788
5;3;50240;1581838848;74225521;343252751;0.21624159102515103
5;4;50807;2109562120;75395825;349888704;0.2154851646768225
5;5;51013;1658398000;74051398;343638355;0.21549223747157095
5;6;49376;2156636576;75828786;352820803;0.21492152774222897
5;7;48835;1709554128;76626451;355818157;0.21535284102997587
5;8;48603;1329917392;77005287;355221682;0.21678093118201044
5;9;48865;1852060128;76057093;352515299;0.21575543874480183
5;10;49842;1395994912;74407946;343378558;0.21669362942574882
6;0;0;1395994912;0;0;0.0
6;1;41855;1726124000;59875716;274726645;0.21794651916635172
6;2;42041;2055654784;61379017;280553556;0.21877825351819816
6;3;41543;1411440080;60208498;277414950;0.2170340783724886
6;4;41596;1694500832;59824794;274426205;0.21799956749757188
6;5;41098;2033593176;60051632;273838159;0.21929606969056492
6;6;41520;1464988992;61017162;280378629;0.21762415422895873
6;7;41287;1747933488;59641071;274309821;0.2174222956457691
6;8;40684;2010597232;60563063;277134764;0.21853289759057437
6;9;40952;1417419744;59977961;274280520;0.2186737906140764
6;10;41319;1807797424;59386047;271283647;0.2189075812594041
7;0;0;1807797424;0;0;0.0
7;1;35999;2023831712;49454051;224771069;0.22001964585575734
7;2;35690;1308203984;50841923;230211889;0.22084838111901336
7;3;35663;1591265200;49654004;227057617;0.21868459933674014
7;4;35529;1841004160;50956480;230690370;0.22088689701264946
7;5;34768;1985629328;52383805;239366658;0.21884336539469085
7;6;35145;2182965304;50707131;230194869;0.2202791540066864
7;7;35540;1427353536;50484026;230137146;0.21936496075257664
7;8;34959;1736870720;51330467;233543991;0.21978928586520557
7;9;34832;1896881536;50146370;227403591;0.22051705419198944
7;10;35953;2125995904;51964084;237910265;0.21841883955700692
8;0;0;2125995904;0;0;0.0
8;1;31081;2200278696;42386612;190289221;0.22274836050750346
8;2;31519;1310927152;41833986;188030396;0.22248523052623895
8;3;31187;1480738112;42802515;193390646;0.22132670780778094
8;4;30984;1512275728;42784834;193218022;0.22143293651976212
8;5;31452;1452097456;42747804;193621099;0.22078071150706566
8;6;31639;1453324544;41023000;187695276;0.21856170743476783
8;7;31202;1413427520;42331890;191199012;0.2214022423923404
8;8;30711;1364306576;44983240;202475630;0.2221661935315376
8;9;30912;1367633408;44203275;199158653;0.22195006008601595
8;10;30792;1314793776;43423344;196608078;0.22086246120568861
9;0;0;1314793776;0;0;0.0
9;1;27610;2042765024;39244971;174693028;0.22465104331467653
9;2;27482;1800149600;38060250;171313623;0.22216709525780096
9;3;28457;1381584112;36334609;163590646;0.22210688623358085
9;4;28702;2014039904;36189566;163218779;0.2217242784299961
9;5;28621;1741018544;34790105;157575187;0.22078415810479096
9;6;28218;1408685888;36442194;162559151;0.22417805319369563
9;7;28234;1910311864;36343442;162593091;0.22352390114780463
9;8;28164;1721969600;36201865;161881836;0.22363142088405769
9;9;28167;1412812048;35812330;159702093;0.22424458770242917
