ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
1;0;0;449890072;0;0;0.0
1;1;195832;365720800;218330304;910321169;0.23983876398242915
1;2;194035;431318504;193373186;777796678;0.24861662625923428
1;3;193619;299791984;181673555;696126031;0.2609779650662137
1;4;193764;365524192;179519825;694873406;0.2583489646457991
1;5;192522;431116776;180633316;694977342;0.25991252532086145
1;6;193304;299592816;178498075;692582891;0.2577281034798187
1;7;193103;365325024;182916743;697926562;0.2620859456556978
1;8;194688;430918600;179346312;695056554;0.25803125079229167
1;9;194595;299390064;176953005;691866211;0.25576188313089915
1;10;191882;365120208;178021931;690383299;0.25785955607248834
2;0;0;365120208;0;0;0.0
2;1;100123;501267664;193386628;700563544;0.2760443783526366
2;2;98074;664896240;187232675;684947962;0.2733531383220613
2;3;98158;632762600;186468519;683172782;0.27294488877924883
2;4;97945;777352256;180709612;672536055;0.2686987718450277
2;5;98281;632925392;181489092;671716679;0.2701869667285722
2;6;96843;507024592;176460800;666478144;0.26476607160879384
2;7;98258;777232960;183267453;674454094;0.27172709696681
2;8;97095;659436608;175026587;663855761;0.26365152986900114
2;9;98325;523074640;183418415;672594041;0.27270300332619213
2;10;98191;765778864;178265265;668284528;0.26675054940071874
3;0;0;765778864;0;0;0.0
3;1;65438;852990176;185333070;675821438;0.27423378362850925
3;2;65254;726280272;186576608;676071404;0.275971749279903
3;3;64549;860401200;180508472;664874603;0.2714925057830792
3;4;65242;991645104;193941379;679666590;0.28534781884747346
3;5;64946;1118210608;183378063;667571144;0.27469441219586327
3;6;65715;1225920240;191057256;675431734;0.28286686334462335
3;7;65117;837039648;186680132;669796207;0.2787118380919706
3;8;65033;964426656;188602681;673451095;0.28005401193979795
3;9;64581;1073921040;183328680;668675347;0.2741669493611524
3;10;64519;1216190160;183707539;667382793;0.27526562106014624
4;0;0;1216190160;0;0;0.0
4;1;49406;1030517456;182394863;670101235;0.2721900117077086
4;2;49216;838775344;181602715;670237962;0.2709525948934537
4;3;49398;917000352;186538642;673298791;0.2770518000232084
4;4;49248;1336466640;186642528;670293902;0.278448793048993
4;5;49101;1148980800;183532147;667861954;0.274805513176455
4;6;49126;921606032;188442783;674164862;0.2795203274774057
4;7;49154;1345971280;186748423;671676388;0.27803333024116966
4;8;48929;1104251312;188959185;673984916;0.28036114831982384
4;9;49161;868478672;188694726;672251446;0.2806906956061795
4;10;49042;1296225488;185148663;667956081;0.2771868813931795
5;0;0;1296225488;0;0;0.0
5;1;40451;1395405712;192389701;682314807;0.2819661819239986
5;2;40468;857767104;188987444;677545312;0.2789296016854442
5;3;40338;935282864;187880228;675900895;0.2779700831732143
5;4;40386;919717424;189999101;678579617;0.2799952964104432
5;5;40082;1232924864;192365237;676486216;0.28435943327483854
5;6;40052;1589831568;191959901;676348485;0.28381803945343353
5;7;39907;1127096896;188196019;670931286;0.28049969188648033
5;8;39968;1460465200;192118907;676239966;0.2840987174070691
5;9;40298;1033375936;203428262;692435276;0.2937866816594711
5;10;39991;1341578432;188300883;675009943;0.2789601619246074
6;0;0;1341578432;0;0;0.0
6;1;34042;1577667088;192285049;685209701;0.28062219305911434
6;2;33988;1044911120;186253737;678838847;0.2743710643890125
6;3;34539;1293110464;205222392;699457162;0.2934023742257428
6;4;34024;1573240880;195785288;687950789;0.2845919957219498
6;5;33953;1048865280;191938658;682853797;0.2810830939847582
6;6;34160;1330621584;201198865;694666709;0.289633665171077
6;7;33836;1545744416;190022655;678864726;0.2799124003977193
6;8;33975;1043153072;196232832;688698716;0.28493276877257895
6;9;34124;1308599328;189876856;681140708;0.2787630423052031
6;10;33971;1571470512;186703269;676984225;0.2757867349124716
7;0;0;1571470512;0;0;0.0
7;1;29727;1201470976;197606107;692154782;0.285494100653342
7;2;29531;1734650176;195657459;690626798;0.2833041804439219
7;3;29608;1453787808;191889421;686488522;0.2795231309053118
7;4;29587;1238979584;196957573;690952217;0.2850523786654266
7;5;29483;1701893008;192387632;688610867;0.27938512332539184
7;6;29553;1377219584;193093903;688910662;0.2802887422868772
7;7;29594;1535238816;196314072;687989277;0.2853446682425546
7;8;29613;1154763824;197798052;692054770;0.2858127139272517
7;9;29738;1987813680;199164135;695017328;0.2865599560993967
7;10;29682;1642419600;199816328;692933286;0.28836300988433106
8;0;0;1642419600;0;0;0.0
8;1;26170;1955507728;197836005;694267781;0.2849563387703858
8;2;26210;1167009808;198430357;696000247;0.28510098646559817
8;3;26306;1364871312;202891145;706156278;0.2873176254619378
8;4;26106;1483990256;194104591;690089164;0.2812746542416365
8;5;26282;1800908976;204706756;704669301;0.2905004598745817
8;6;26186;1805019344;199842465;697619990;0.2864632147367222
8;7;26189;1794446976;197980128;694898056;0.2849052840061478
8;8;26100;1793314448;193334005;690620506;0.27994246235138576
8;9;26122;1958663472;194977764;691973747;0.2817704643352604
8;10;26083;1954385792;194292997;689936697;0.28160988949396326
9;0;0;1954385792;0;0;0.0
9;1;23797;1154471088;206530952;706785078;0.29221181718270517
9;2;23942;1650593776;210108277;714387336;0.2941097446889792
9;3;23723;1521292416;209663651;711432250;0.2947064193392976
9;4;23474;1319070720;197595108;695778485;0.28399140280976065
9;5;23823;2157376416;203431506;702444567;0.2896050671568508
9;6;23656;1963529376;205009970;705637152;0.29053171225315527
9;7;23515;1746624016;198936337;698699141;0.28472388947734517
9;8;23607;1589257760;207948226;710312322;0.29275604485430845
9;9;23766;1302672048;215387199;715813067;0.3008986688419869
9;10;23793;2125470064;201634828;702471737;0.28703621424131404
10;0;0;2125470064;0;0;0.0
10;1;21738;1841938800;213774116;719091768;0.29728349775796625
10;2;21799;1556166816;209924178;714292354;0.29389111730573
10;3;21992;1281347696;220051407;728248347;0.30216533673779833
10;4;21904;2051727136;225333185;734888104;0.3066224419384533
10;5;21934;1724150112;223657591;729849761;0.30644332978003125
10;6;21836;1505969552;218878941;727677806;0.30079100832161426
10;7;21652;1314560128;213338239;720509175;0.29609371594747563
10;8;21587;2067109152;209107032;718989653;0.2908345497428181
10;9;21918;1802213888;222575527;727412440;0.3059825688436123
10;10;21695;1609993856;210194744;717746158;0.2928538755062204
11;0;0;1609993856;0;0;0.0
11;1;20109;1955363664;212427422;727625400;0.2919461332713234
11;2;19754;1460109296;204432644;713093699;0.28668412620485095
11;3;19804;1705388032;206573658;718313725;0.28758138792350096
11;4;19953;2122149216;215836073;727286580;0.2967689476684693
11;5;19698;1479992144;207690992;716266762;0.2899631855317056
11;6;19663;1919021040;211471274;723081603;0.2924583796941104
11;7;19815;1358982608;210716584;720226330;0.2925699536699804
