ThreadPoolSize;RunNr;Runtime;Memory;L3-cacheMisses;L3-cacheReferences;L3-cache-miss-rate
1;0;0;13467289192;0;0;0.0
1;1;513920;13460766200;398916;726344;0.5492108422455476
1;2;516930;13454427696;442251;762926;0.5796774523348267
1;3;519032;13447890424;456269;785082;0.5811736863155695
1;4;515826;13441259056;440677;766711;0.5747628506699395
1;5;516344;13435014704;423164;763397;0.5543170853435369
1;6;516480;13428383280;434822;754612;0.5762193021049228
1;7;516107;13421751856;430621;761317;0.5656264079220614
1;8;516148;13415507520;427860;762378;0.5612176636786476
1;9;514784;13408876024;423287;736439;0.5747753717551624
1;10;514715;13402338880;413306;737243;0.5606102736818118
2;0;0;13402338880;0;0;0.0
2;1;248159;13395019160;118198;253032;0.4671266875335926
2;2;248964;13388492336;111818;264959;0.4220200106431561
2;3;251472;13381162240;146953;313020;0.46946840457478756
2;4;252497;13373754776;164835;334392;0.49293942438814325
2;5;252383;13366537624;138062;295794;0.46675050880004326
2;6;248766;13359312072;113221;248496;0.45562504024209644
2;7;250241;13351802112;124439;295353;0.4213229593063216
2;8;248753;13344394664;110041;245279;0.4486360430367051
2;9;251133;13337865776;160077;322849;0.49582622216578026
2;10;255119;13330537728;151977;328988;0.4619530195630236
3;0;0;13330537728;0;0;0.0
3;1;165352;13322734848;86954;197509;0.4402533555432917
3;2;164433;13314346240;74628;171674;0.4347076435569743
3;3;164517;13306250496;65109;170714;0.381392270112586
3;4;164450;13298550168;65383;159145;0.41083917182443686
3;5;165064;13290747288;61518;163817;0.375528791273189
3;6;165947;13282651488;80160;169471;0.4730012804550631
3;7;166463;13274262936;83028;192268;0.4318347306884141
3;8;165452;13266562608;94850;200807;0.4723440915904326
3;9;165487;13258546280;65649;164374;0.39938798106756546
3;10;164548;13250157632;63037;160274;0.3933077105456905
4;0;0;13250157632;0;0;0.0
4;1;125354;13242354808;76828;179299;0.42849095644705215
4;2;124460;13234654464;63226;156888;0.40300086686043546
4;3;124677;13226558720;60134;153444;0.39189541461380045
4;4;124659;13218170112;68350;160740;0.42522085355232053
4;5;124909;13209781504;57788;142933;0.40430131600120334
4;6;125174;13202374040;60681;157015;0.3864662611852371
4;7;125158;13194966576;65052;172945;0.37614270432796554
4;8;125477;13187535976;79762;185043;0.4310457569321725
4;9;125165;13179440248;82162;186039;0.44163858115771426
4;10;125301;13172032768;81834;179993;0.45465101420610804
5;0;0;13172032768;0;0;0.0
5;1;100521;13163937024;68814;186472;0.36903127547299325
5;2;100375;13155548416;58553;171317;0.34178160953086967
5;3;100325;13146178664;66341;192072;0.345396517972427
5;4;100280;13137790056;50993;166022;0.3071460408861476
5;5;100401;13129108584;71443;173960;0.41068636468153596
5;6;100048;13120427112;61334;156953;0.3907794052996757
5;7;100031;13111373304;62121;168610;0.36843010497598006
5;8;100301;13102984768;64523;183632;0.3513712207022741
5;9;100505;13094596144;68075;183393;0.37119737394557045
5;10;100358;13085226408;79671;190600;0.41800104931794335
6;0;0;13085226408;0;0;0.0
6;1;82993;13074875496;50211;148649;0.3377822925145813
6;2;83155;13064254872;47461;152275;0.31167952717123626
6;3;83056;13053903976;49455;156446;0.3161154647610038
6;4;83259;13043283352;52167;156297;0.33376840246453865
6;5;82950;13032932456;51464;135224;0.38058332840324205
6;6;82964;13022311832;53621;143772;0.37295857329660853
6;7;83046;13011960936;49405;132348;0.37329615861214377
6;8;83058;13001340312;54573;141100;0.3867682494684621
6;9;83194;12990989416;57208;161404;0.3544397908354192
6;10;83004;12980368792;58506;158301;0.3695870525138818
7;0;0;12980368792;0;0;0.0
7;1;70597;12973626536;35750;102706;0.34808093003329893
7;2;70686;12965926144;39933;122860;0.32502848770958814
7;3;70778;12958811544;42358;120913;0.3503179972376833
7;4;70494;12951989808;36421;110707;0.32898552033746736
7;5;70580;12944266368;42645;121521;0.350927000271558
7;6;70652;12936858880;51375;133776;0.3840374955148906
7;7;70538;12929451360;43550;120862;0.3603283083185782
7;8;70607;12922336816;40844;114854;0.3556166959792432
7;9;70587;12914906256;38156;109736;0.3477072246117956
7;10;70525;12907498752;36417;135081;0.26959379927599
8;0;0;12907498752;0;0;0.0
8;1;61517;12899403008;38275;112769;0.3394106536370811
8;2;61545;12891014400;35306;103248;0.34195335502866886
8;3;61417;12882625792;30976;99027;0.31280357882193743
8;4;61578;12874237184;34095;103765;0.3285790006264155
8;5;61687;12865555712;36324;111604;0.3254722052973012
8;6;61521;12857167048;32902;105193;0.3127774661812098
8;7;61469;12848778512;28269;103791;0.2723646558950198
8;8;61518;12840389888;33081;109705;0.30154505264117404
8;9;61344;12832001280;36445;99198;0.3673965200911309
8;10;61388;12823612672;34351;107733;0.31885309051079985
9;0;0;12823612672;0;0;0.0
9;1;54710;12814242920;30539;104442;0.29240152429099403
9;2;54670;12805189168;30478;104166;0.2925906725803045
9;3;54636;12795819416;32910;105850;0.3109116674539443
9;4;54625;12786156800;30341;117585;0.25803461325849386
9;5;54683;12776494184;30203;103796;0.2909842383136152
9;6;54587;12767147568;31757;105378;0.30136271327981173
9;7;54767;12758070680;35224;122425;0.2877190116397795
9;8;54808;12748408064;36743;114881;0.3198353078402869
9;9;54482;12738745448;28966;91764;0.31565755634017695
9;10;54704;12729398832;37399;109738;0.3408026390129217
10;0;0;12729398832;0;0;0.0
10;1;49117;12720029080;26732;114307;0.23386144330618422
10;2;49181;12709678200;26614;93798;0.2837373931213885
10;3;49162;12700331568;30129;107764;0.27958316320849264
10;4;49089;12690668952;30227;104961;0.2879831556482884
10;5;49215;12681299200;30428;101527;0.2997035271405636
10;6;49111;12670971440;24345;96833;0.251412225171171
10;7;49169;12661308824;29317;102440;0.2861870363139399
10;8;49148;12650957928;27281;89860;0.3035944803026931
10;9;49116;12641611312;26978;95264;0.28319197178367483
10;10;48967;12631948696;26160;90890;0.2878204422928815
11;0;0;12631948696;0;0;0.0
11;1;44391;12621597744;25174;84257;0.29877636279478265
11;2;44484;12610288896;25197;77806;0.32384391949207003
11;3;44440;12599668272;20912;79832;0.26195009519991985
11;4;44551;12589024456;30084;97957;0.3071143460906316
11;5;44546;12577715608;27510;88861;0.309584632178346
11;6;44561;12567071848;27313;95774;0.28518178211205547
11;7;44427;12556744088;23662;79735;0.2967580109111432
11;8;44542;12546100328;23855;87545;0.27248843451939003
11;9;44504;12535772568;22810;73479;0.31042883000585203
11;10;44461;12525128808;24502;81172;0.30185285566451486
12;0;0;12525128808;0;0;0.0
12;1;40791;12513527056;22440;87213;0.2573010904337656
12;2;40859;12502218136;27423;90637;0.3025585577633858
12;3;40809;12490616368;26295;89918;0.2924331057185436
12;4;40785;12479284328;24079;90100;0.2672475027746948
12;5;40669;12467389696;22573;81574;0.27671807193468506
12;6;40892;12456080792;23152;87935;0.2632853812475124
12;7;40843;12444478968;22988;81289;0.2827934898940816
12;8;40833;22578697600;24298;81086;0.29965715413264926
12;9;40857;22563889632;20642;78756;0.26210066534613236
12;10;40734;22547112416;23020;81564;0.28223235741258396
13;0;0;22547112416;0;0;0.0
13;1;37664;22530335200;19669;86487;0.22742146218506828
13;2;37658;22511757776;25303;83607;0.30264212326719053
13;3;37667;22495281680;24311;86111;0.2823216546085866
13;4;37709;22478504464;24809;81996;0.30256353968486266
13;5;37737;22461727248;23527;90861;0.2589339760733428
13;6;37675;22443452992;23611;79742;0.2960923979834968
13;7;37682;22426675776;24662;91238;0.2703040399833403
13;8;37757;22409898560;22444;85799;0.26158813039779016
13;9;37698;22391923168;23067;87468;0.2637193030594046
13;10;37660;22375145952;24224;81362;0.2977311275534033
14;0;0;22375145952;0;0;0.0
14;1;35058;22355372608;26269;91914;0.28579976934960943
14;2;35055;22337397216;23042;92159;0.2500244143274124
14;3;34990;22319120912;23445;83668;0.2802146579337381
