ThreadPoolSize;RunNr;Runtime;Memory;L3-cacheMisses;L3-cacheReferences;L3-cache-miss-rate
1;0;0;14554302968;0;0;0.0
1;1;514169;20010315504;452033568;680144977;0.6646135504724899
1;2;497713;18025503456;541280078;760131456;0.7120874603037083
1;3;524315;30816391808;424826092;624927631;0.6798004615673651
1;4;498586;28815904008;522746395;739548002;0.7068457944397232
1;5;496150;26802833072;530704872;749903875;0.7076971991910297
1;6;496199;24787846120;520857998;739540575;0.7042994199473098
1;7;494606;22763397608;527546467;748161010;0.7051242445793854
1;8;495178;20737038672;530403514;750079500;0.7071297295819976
1;9;494108;18707877592;527096933;748025067;0.7046514298163219
1;10;495840;31461357888;530421114;750189143;0.7070498406293251
2;0;0;31461357888;0;0;0.0
2;1;248558;29421830920;258623619;370956256;0.6971809069584743
2;2;250181;27390651192;246873133;365118723;0.6761448193386675
2;3;250015;25346182768;233217996;352043120;0.6624699724283776
2;4;251148;23306105824;231841980;350426287;0.6615998530954956
2;5;251137;21266408520;229309531;342162677;0.6701769258135656
2;6;251789;19212469984;238124248;350335822;0.6797028252509103
2;7;251599;17159839032;235475107;354344830;0.6645365956094237
2;8;251806;29886507376;239473005;355807650;0.6730406302394004
2;9;252429;27838295944;233111347;348027174;0.669807889771274
2;10;253929;25789288352;228027130;344125121;0.6626285501545817
3;0;0;25789288352;0;0;0.0
3;1;169558;23723501656;156333139;237642698;0.6578495376281244
3;2;168319;21651839496;153832555;236953563;0.6492097145633552
3;3;167603;19593719296;151539224;233720294;0.6483785443124592
3;4;170180;17527862552;160937290;239613642;0.671653285917669
3;5;168950;30220086928;153127328;235057882;0.6514451959539055
3;6;169883;28162629800;163100033;240127015;0.6792240056788279
3;7;167165;26104077880;159497794;239236753;0.6666943602933785
3;8;169053;24032329888;152663834;233793351;0.6529862091758118
3;9;167972;21953280360;153618349;232541715;0.6606055562977163
3;10;169756;19892283208;152828715;234254727;0.6524039747552245
4;0;0;19892283208;0;0;0.0
4;1;127202;17813569248;126914488;185204086;0.6852682937027642
4;2;127294;30482319864;122829187;182226607;0.6740463921385531
4;3;127325;28417490752;120813641;182209267;0.6630488283562438
4;4;127869;26323068744;120343735;181137366;0.6643782984014464
4;5;127979;24240827448;119206454;179552134;0.6639099817103816
4;6;127693;22160142832;126617609;184587727;0.6859481454040549
4;7;127733;20085714656;130410722;186193215;0.7004053396897411
4;8;127275;17993002808;125790221;183973563;0.6837407448590861
4;9;128051;30677168352;123824675;181966354;0.6804811564230165
4;10;126659;28586947160;119067653;178166737;0.6682933919365656
5;0;0;28586947160;0;0;0.0
