ThreadPoolSize;RunNr;Runtime;Memory;L3-cacheMisses;L3-cacheReferences;L3-cache-miss-rate
1;0;0;1358615464;0;0;0.0
1;1;1143614;1343477776;22630374;141229773;0.16023798324734262
1;2;1143596;1328422232;22581141;136488227;0.16544387377821237
1;3;1143597;1313256920;22533147;139938659;0.1610216016147475
1;4;1142759;1298201296;22794735;140791054;0.1619047116445339
1;5;1141174;1283027744;21852870;139700567;0.1564264946755728
1;6;1142181;1267980304;22323061;140451383;0.15893799351196136
1;7;1144651;1252924760;22408662;141128231;0.15878227794125754
1;8;1145998;1237751288;22091265;139999233;0.15779561449454513
1;9;1142279;1222703768;21932056;139045615;0.1577328130772049
1;10;1142116;1207530272;22375280;140781499;0.15893622499359805
7;0;0;1207530272;0;0;0.0
7;1;164719;1192165608;11785514;30914255;0.38123234734267414
7;2;164464;1176573344;11994472;30523943;0.3929529025788051
7;3;164232;1161337184;11356903;30120124;0.37705366020405495
7;4;164662;1145801608;11132005;29878317;0.37257804715038
7;5;163984;1130330888;12247322;29282266;0.4182504864889896
7;6;164001;1114799664;11934349;30839395;0.38698388862686833
7;7;164472;1099498000;11906609;27070971;0.43982940249908287
7;8;164665;1083853728;11650537;30668741;0.3798831194276935
7;9;163914;1068209232;12916552;29488658;0.4380176269805157
7;10;164938;1052960584;11735442;29173090;0.40226942020882944
13;0;0;1052960584;0;0;0.0
13;1;92930;1037489840;9108519;24973375;0.36472919659437303
13;2;93382;1022229152;8976749;24579363;0.3652148755848555
13;3;93068;1006588064;9056930;24514158;0.36945711127422776
13;4;93080;991239248;8839309;24391302;0.36239594753900384
13;5;93011;975821272;9209006;24898690;0.3698590568419463
13;6;93264;960519328;9057785;24313690;0.3725384752376131
13;7;93260;945215120;8811289;24151744;0.3648303410304448
13;8;93482;929468544;8852457;24366964;0.36329749574054443
13;9;93163;913875296;9069802;24729128;0.3667659450021853
13;10;92992;898511248;8862782;22050175;0.4019370367808872
19;0;0;898511248;0;0;0.0
19;1;65180;882814016;7994623;22682472;0.352458188860544
19;2;65240;866987696;8398824;23006532;0.36506258309596595
19;3;65197;851321816;8183783;22860471;0.35798838090431295
19;4;65183;835710160;8020121;22500390;0.3564436438657286
19;5;65171;820065608;8358411;23058538;0.3624865982396629
19;6;65085;804368256;8355061;21945211;0.380723657658156
19;7;65015;788779800;7631266;22113115;0.34510135727146535
19;8;65232;773022112;8176884;22867736;0.3575729578127017
19;9;65218;757377592;8419234;23494043;0.35835611605886647
19;10;65177;2002838536;8263608;23691773;0.34879652105395403
25;0;0;2002838536;0;0;0.0
25;1;49751;1986057312;7656493;20496970;0.3735426748441355
25;2;49735;1967722816;7414112;20355093;0.3642386698994694
25;3;49744;1950945496;7295113;19804701;0.36835259466931614
25;4;49733;1932569520;7463179;20473952;0.364520684624053
25;5;49751;1915792304;7495102;20744513;0.3613052762434095
25;6;49741;1897457784;7420903;19236061;0.38578079992572284
25;7;49705;1879123320;7428297;20379765;0.36449375152265007
25;8;49719;1862345992;7560253;20092323;0.37627570490480367
25;9;49720;1843497256;7448536;20608432;0.3614314762035268
25;10;49735;1826846800;7201698;19078554;0.37747609174154395
