ThreadPoolSize;RunNr;Runtime;Memory;L2-cacheMisses;L2-cacheReferences;L2-cache-miss-rate
1;0;0;2109022208;0;0;0.0
1;1;1095392;2096439296;802510;15211070;0.05275828722108307
1;2;1095156;2081757184;252816;8881490;0.028465493965539566
1;3;1095569;2069174272;207976;6924955;0.030032830538248984
1;4;1094807;2056591360;203410;6808291;0.029876807557138788
1;5;1095771;2044008448;202502;6775424;0.029887723631760905
1;6;1095740;2125033216;218791;6738509;0.03246875532851555
1;7;1095609;2112450304;227818;6516698;0.03495911579760179
1;8;1095386;2099867424;233265;6514778;0.03580551785494456
1;9;1098081;2087284512;211506;6767838;0.031251634569267175
1;10;1096206;2074701584;223892;6638980;0.03372385517052318
7;0;0;2074701584;0;0;0.0
7;1;159614;2053228864;414135282;230905813;1.7935247130395977
7;2;158633;2120632424;426515060;238688532;1.786910566779974
7;3;159412;2102197920;394765579;217074770;1.818569606223699
7;4;159296;2085420704;396740711;227124969;1.7467947832719353
7;5;159305;2065728384;395542084;236036599;1.6757659010330004
7;6;158850;2048491936;347320813;185154589;1.8758423157419015
7;7;158656;2030894736;377982723;228076006;1.6572664947491231
7;8;157643;2013299584;407559429;251986052;1.6173888426173684
7;9;158611;1991048848;400858801;244210500;1.6414478533887773
7;10;158616;1973453696;407201548;251208912;1.6209677624812928
13;0;0;1973453696;0;0;0.0
13;1;89523;2105265008;144744086;82768045;1.7487918918466663
13;2;89474;2078004080;143059292;80875670;1.7688792191767932
13;3;89609;2050739056;161148224;94125758;1.7120523374696224
13;4;89888;2025573232;156477545;91037271;1.718829478093648
13;5;89494;1998312304;163950415;94625162;1.732630217319998
13;6;89543;1971047280;159471580;92096394;1.7315724652585203
13;7;89436;1943786352;165186677;95620797;1.7275183033665782
13;8;89476;1918620528;149869956;85418759;1.7545321163001208
13;9;89578;1891355504;142581532;80863206;1.7632436191065688
13;10;89535;1864094576;165853034;90200359;1.8387181141928715
19;0;0;1864094576;0;0;0.0
19;1;62551;1826345840;83567166;48147809;1.7356379809515319
19;2;62531;1786497904;84063574;48816183;1.7220431593350918
19;3;62547;1744554864;84958515;49418617;1.7191601092357562
19;4;62618;1706806128;75578832;43472284;1.7385521312843835
19;5;62733;1666962288;74734956;40664498;1.8378428279134296
19;6;62688;1629213552;90425796;53096319;1.7030520703327852
19;7;62641;1589365616;85207968;49614478;1.717401279521675
19;8;62613;1551616880;91520041;53590784;1.7077570837552964
19;9;62619;1511773040;74068228;40385173;1.834045083823214
19;10;62614;1474024304;83207012;48111002;1.72947992228472
25;0;0;1474024304;0;0;0.0
25;1;47848;1421593456;42351915;23007509;1.8407866318774448
25;2;47854;1371261808;46056428;26205545;1.757506970375926
25;3;47849;1318835056;45108994;24585719;1.8347640758441923
25;4;47862;1268503408;62776557;37272435;1.6842622973250876
25;5;47830;1216072560;53161760;30502088;1.742889208109294
25;6;47853;1165740912;42370013;23746854;1.784236893021703
25;7;47836;1113314160;44101651;24277454;1.816568203568628
25;8;47855;1062982512;46604354;25962530;1.7950621145165744
25;9;47853;1010551664;45794973;25936276;1.765672643212156
25;10;47854;960220016;56826931;33496218;1.69651782777387
31;0;0;960220016;0;0;0.0
31;1;38575;897305456;36310829;20902029;1.7371915903475208
31;2;38571;2100196576;34313854;19605460;1.7502192756507626
31;3;38653;2057207088;35532887;20363432;1.7449360697155567
31;4;38578;2013164848;34807075;20067782;1.7344754392887067
31;5;38571;1969896320;34474318;19873859;1.7346564650579437
31;6;38582;1927183664;34820048;19815225;1.75723707401758
31;7;38568;1883141424;32101190;18051846;1.7782774127366254
31;8;38598;1839872896;38170769;21742290;1.7556002150647425
31;9;38575;1797929800;26656353;14484653;1.8403169892989497
31;10;38569;1753503832;34735456;20001044;1.736682145192021
37;0;0;1753503832;0;0;0.0
37;1;32363;1703172184;18994647;10331863;1.8384532392657549
37;2;32364;1652840536;24055020;13574082;1.7721286787570607
37;3;32367;1600027952;23184920;13177831;1.7593881724541771
37;4;32352;1549696304;25333600;14604166;1.734683103437745
37;5;32376;1497265456;23708571;13422115;1.7663811552799242
37;6;32343;1445608320;25111047;14378343;1.746449295304751
37;7;32366;1395276616;18868039;10291240;1.8334077331788978
37;8;32362;1344175408;23885428;13712936;1.74181721551096
37;9;32370;1291744560;21725112;12214273;1.7786659918277576
37;10;32360;1240087424;25579133;14607301;1.7511197311536197
43;0;0;1240087424;0;0;0.0
43;1;27975;1181367112;18150097;10474067;1.7328605020380337
43;2;27886;1121877296;18928918;10899435;1.736688002634999
43;3;27818;1059732352;18460069;10550784;1.7496395528521862
43;4;27921;1001012040;18473813;10562533;1.7489945830228413
43;5;27870;942291784;18138563;10445047;1.736570740179532
43;6;27881;881088600;18012500;10195442;1.766720854279785
43;7;27868;2090872392;17134717;9741173;1.7589993525420398
43;8;27960;2047179872;17676908;10041367;1.760408518083245
43;9;27890;2002791952;17191641;9781051;1.757647618849958
43;10;27896;1957877048;17275709;9907446;1.743709630110525
49;0;0;1957877048;0;0;0.0
49;1;24623;1905797968;13595288;7829841;1.7363427941895628
