ThreadPoolSize;RunNr;Runtime;Memory;L2-cacheMisses;L2-cacheReferences;L2-cache-miss-rate
1;0;0;27911312144;0;0;0.0
1;1;1255746;27892842176;2080927;16843138;0.1235474648488898
1;2;1255691;27876335816;1631955;13969225;0.11682502071517926
1;3;1281303;27859829512;1783622;12759905;0.1397833291078578
1;4;1280967;27843318248;1766221;12795656;0.13803286052704136
1;5;1295599;27826812032;2484684;13617824;0.18245822533761635
1;6;1315919;27810305704;2650100;13850904;0.19133047200384898
1;7;1276316;27793799400;1754060;12795827;0.13708062792658887
1;8;1288666;27777293096;2184106;13240412;0.16495755570143888
1;9;1283511;27760786792;2059614;13151534;0.156606370024972
1;10;1256863;27744280544;1479620;12401079;0.11931381132238573
7;0;0;27744274616;0;0;0.0
7;1;176765;27728458696;1331871;2859927;0.4657010476141524
7;2;174591;27712998688;1069933;2176283;0.49163321130569876
7;3;175612;27697444280;1034517;2182598;0.4739842151417714
7;4;176307;27682013592;1042029;2155057;0.48352734985663953
7;5;171618;27666541080;737667;1875293;0.3933609307985472
7;6;170659;27651111776;660228;1776666;0.37161064600774707
7;7;174080;27635645056;895891;2025079;0.4423980496563344
7;8;174671;27620184304;982808;2124012;0.46271301668728804
7;9;174859;27604754208;970517;2094459;0.4633735967139963
7;10;173498;27589311888;834029;1951710;0.4273324418074407
13;0;0;27589311888;0;0;0.0
13;1;95298;27573465280;259367;958408;0.2706227410455672
13;2;97652;27557803552;570075;1251288;0.4555905594875041
13;3;95156;27541945592;252268;946026;0.2666607471676254
13;4;95854;27525998904;396047;1099136;0.3603257467683708
13;5;96659;27510081688;538510;1193256;0.4512946090361163
13;6;96965;27494218208;490192;1147700;0.4271081293020824
13;7;97116;27478425000;542756;1202864;0.45121975551683313
13;8;97765;27462579216;567204;1230581;0.4609237425248724
13;9;96586;27446698104;468018;1130997;0.4138101162072048
13;10;97419;27430888360;521886;1177995;0.4430290451147925
19;0;0;27430888360;0;0;0.0
19;1;66453;27414532328;285160;835078;0.34147708357782147
19;2;67174;27398324984;377871;900205;0.41976105442649175
19;3;66434;27381944232;213947;755863;0.2830499706957478
19;4;67879;27365860600;455861;964083;0.4728441430872653
19;5;66361;27349427992;171038;704955;0.2426225787461611
19;6;66888;29216515720;372842;850469;0.4383957557535901
19;7;66961;29201884928;236798;685606;0.34538495870806263
19;8;65998;29186396176;117988;545648;0.21623464211359705
19;9;67511;29170269736;355847;802234;0.44357008055006397
19;10;66428;29155747584;177977;634800;0.2803670447385003
