ThreadPoolSize;RunNr;Runtime;Memory;L2-cacheMisses;L2-cacheReferences;L2-cache-miss-rate
1;0;0;14569191904;0;0;0.0
1;1;1177271;18796113552;244213001461;12120304479;20.149081393469174
1;2;1178303;15823350576;244290709406;12107211112;20.177289975878303
1;3;1178111;12854514784;244258481046;12117859187;20.156900429082366
1;4;1178631;9885506784;244130992583;12175722522;20.050637006706253
1;5;1181440;20665201296;244202883354;12303734811;19.847866286558247
1;6;1182667;17696483344;244210077208;12290158384;19.870376733787747
1;7;1183957;14725725920;244185378728;12091467389;20.19485070522899
1;8;1182064;11754933808;244054725111;12198893993;20.00629936214251
1;9;1187224;8786232368;244179082439;12089024473;20.198410796864305
1;10;1190422;19568015488;244188885152;12217190842;19.98731855055686
7;0;0;19568015488;0;0;0.0
7;1;175381;16515493440;34508927734;1726037684;19.993148500690555
7;2;173638;13465297520;34638420410;1737608729;19.934534070817275
7;3;172184;10405745376;34511349299;1715468418;20.11774098367575
7;4;171130;21086602112;34545673254;1725493874;20.020745233894697
7;5;169321;18033287792;34719571675;1735315203;20.007645651335885
7;6;171588;14972113936;34605825780;1725978510;20.049974886419648
7;7;169638;11925521664;34527653835;1726389860;19.99991695676433
7;8;172245;8870666128;34297961263;1716242120;19.98433721169831
7;9;170461;19553279136;34728375710;1737287562;19.98999847211247
7;10;169893;16499718928;34409714280;1714871020;20.065482405784664
13;0;0;16499718928;0;0;0.0
13;1;94784;13369438336;17781234626;904485551;19.658948234541782
13;2;95154;10217979968;18485395395;926150769;19.95938027990775
13;3;94411;20780046608;18540397852;927999943;19.97887822284058
13;4;95375;17644125584;18254388189;917951073;19.886014326822405
13;5;95181;14509038736;18439560879;924442780;19.946676287525335
13;6;94395;11369412000;18464922513;924228456;19.978742694111553
13;7;95601;21932268208;18582877993;931105852;19.957857587388464
13;8;94463;18787283744;18533660182;926656398;20.000574346652275
13;9;96332;15647138160;18532664261;932662188;19.87071471262433
13;10;94471;12526861392;18449575098;923740549;19.97268076839615
19;0;0;12526861392;0;0;0.0
19;1;66685;9340877824;12520919196;628225497;19.93061290220126
19;2;65885;19877824032;12676988973;635593671;19.945115175635536
19;3;66547;16702283296;12708713592;636341113;19.97154251449411
19;4;65979;13493125792;12682679923;634078527;20.001749598752774
19;5;66761;10309949584;11999940159;612375510;19.595721845571518
19;6;66006;20839538432;12236406383;620339448;19.725339767526762
19;7;66404;17665292608;12622082807;631817363;19.977423138654707
19;8;65852;14455053024;12500176346;626559105;19.95051423919536
19;9;65919;11277828400;12870916212;643691118;19.99548518238215
19;10;66941;21818403936;12669455461;636173208;19.91510378255351
25;0;0;21818403936;0;0;0.0
25;1;50511;18452273984;9490890862;477006189;19.89678767459346
25;2;50367;15122291152;9660480044;482499945;20.021722580714492
25;3;50815;11800621680;9618718297;482581969;19.93178136541608
25;4;50416;8446737488;9156822650;462968905;19.77848307112548
25;5;50486;18801028192;9585256415;477968930;20.054141207463005
25;6;50765;15484743200;9570202349;479396053;19.96303951421978
25;7;50434;12131191664;9656479708;482831563;19.999686118283034
25;8;50447;8805294384;9534535322;476213205;20.02156853672296
25;9;50932;19160831456;9696768451;488054833;19.868194709589115
25;10;50391;15799422896;9612184946;480947810;19.98592102124345
31;0;0;15799422896;0;0;0.0
31;1;40777;12402869296;7581129647;381989818;19.846418123637
31;2;41405;9006864576;7342191573;377191926;19.465399619927176
31;3;40791;19254149136;7796327161;388838906;20.05027542434244
31;4;40838;15829241888;7377427955;373838602;19.734259425140905
31;5;40793;12418521920;7648019281;383419536;19.94686906355236
31;6;41145;9022125408;7741517038;389041260;19.898961457198652
31;7;40810;19275570864;7753576547;387218073;20.02379818413073
31;8;40764;15854446064;7600817249;380784509;19.960941344386466
31;9;41054;12430951200;7604348110;382385241;19.88661510604694
31;10;40818;9028243472;7408828834;373314488;19.84607903564675
37;0;0;9028243472;0;0;0.0
37;1;34241;19290840576;6511110472;326701603;19.929839377004832
37;2;34217;15877949280;6438783326;321811460;20.007936715491734
37;3;34259;12487495056;6427698666;322200521;19.949373905574785
37;4;34559;9071528896;6273493903;318213855;19.71471010588147
37;5;34279;19322206400;6262544020;316575093;19.782175409484914
37;6;34210;15911549056;6525031165;326609673;19.978070781143092
37;7;34650;12526492976;6322448470;320569571;19.722547122228267
37;8;34222;9112640048;6469673822;324288324;19.950375462793414
37;9;34336;19380178144;6162282650;312297956;19.732062063191986
37;10;34211;15970737184;6528719315;326466513;19.998128613576977
43;0;0;15970737184;0;0;0.0
43;1;29991;12504085184;5450980126;278157827;19.596716672653617
43;2;29552;8960374288;5331490915;269836721;19.758211170228385
43;3;29633;19156816560;5291525319;268149380;19.733498242658627
43;4;29747;15650190560;5618437446;281626321;19.949972808116893
43;5;29903;12184976896;5484249234;278685629;19.67898112894799
43;6;29493;8688935600;5585697294;280008099;19.94834190135336
43;7;29636;18894001776;5632367267;282169715;19.960920565128685
43;8;29569;15391759936;5366484122;272046447;19.72635254449767
43;9;29550;11921559056;5420883117;273621309;19.81162628309771
43;10;29612;8436558912;5375092122;271875140;19.77044360142674
49;0;0;8436558912;0;0;0.0
49;1;26456;18515168096;4743686004;245389418;19.33125740572888
49;2;26174;14901643968;4707457525;238064093;19.77390821806966
49;3;26015;11300777264;4608594724;234340107;19.666265339718393
49;4;26054;21361959216;4856265440;243820590;19.917372195678798
49;5;26018;17753608048;4867517282;243872491;19.959271593285198
49;6;26342;14154860736;4858160164;247110256;19.659888839255622
49;7;26075;10548079456;4805447890;241392274;19.907214967451694
49;8;26106;20512312144;4693473031;237931871;19.726121646813763
49;9;26018;16879178640;4791976779;242537877;19.757642963948268
49;10;26032;13269201280;4868674875;243806551;19.96941778237944
55;0;0;13269201280;0;0;0.0
55;1;23445;9480205776;4304630778;216129197;19.91693319436152
55;2;23823;19274194128;4385907706;222578662;19.70497830560236
55;3;23449;15493008240;4248008772;214589618;19.795965953954028
55;4;23515;11674127680;4360784089;218457198;19.961732224543134
55;5;23496;21532426992;4344791836;218857431;19.852155881332628
55;6;23585;17717680608;4308258699;216030857;19.942793167737143
55;7;23715;13901041888;4305538245;218798188;19.678125693618632
55;8;23498;10176311216;4156576121;210274553;19.76737585075261
55;9;23570;19940574944;4200083168;212277662;19.78579907291423
55;10;23476;16184886352;4301134714;215982344;19.914288521658047
61;0;0;16184886352;0;0;0.0
61;1;21911;12459834208;3840553987;192772595;19.922717681940217
61;2;21562;8782815744;3739914009;188699277;19.819440055406254
61;3;22146;18692036864;3814310191;196032592;19.45753077120972
61;4;21556;15004137008;4010500362;200941148;19.958581912749896
61;5;21619;11319544832;3806590896;193751782;19.646740054241153
61;6;21613;21170980640;4016015084;201561998;19.924465543351083
61;7;21697;17449387120;3967892521;199340988;19.905050942157466
61;8;21614;13660801168;3928147178;197258039;19.9137495126371
61;9;22020;9881114192;3831759080;195012872;19.648749545106952
61;10;21774;19719914512;3769258347;191264251;19.707071903363687
67;0;0;19719914512;0;0;0.0
67;1;20352;15834681360;3447472811;174093401;19.802432436827402
67;2;20407;11986346464;3560628706;181129753;19.65788970076054
67;3;20463;21771435104;3474611864;176398580;19.697504730480258
67;4;20657;17898768272;3553792148;181448578;19.585670977261668
67;5;20279;14003501952;3562405248;180831244;19.700164469365703
67;6;20390;10149491232;3343880640;169880777;19.683690521382534
67;7;20780;19886579936;3344991718;171802382;19.46999616105439
67;8;20602;16005198704;3569256249;180534729;19.770468921799527
67;9;20388;12164764416;3575054880;180481185;19.808463026215172
67;10;20496;8339397696;3564835651;180880634;19.708221782327456
73;0;0;8339397696;0;0;0.0
73;1;19350;18050531440;3231496960;163405925;19.775886094705562
73;2;19239;14088141024;3493880287;176163849;19.83312868578388
73;3;19773;10148295664;3090927195;160724379;19.23122810759157
73;4;19346;19733528528;3357118852;170196425;19.724966913964263
73;5;19324;15753748656;3307845484;167997227;19.689881452626597
73;6;19339;11771651568;3395287838;172216250;19.715258217502704
73;7;19394;21357039136;3353524760;171152447;19.593787987150428
73;8;19613;17421865440;3470535850;176978330;19.609948008889
73;9;19896;13464303776;3268144668;170854359;19.12824868577102
73;10;19441;9551563488;3547521850;178167328;19.911180629032053
79;0;0;9551563488;0;0;0.0
79;1;18621;19122132368;3037767183;155517840;19.53323929267536
79;2;18439;15075231376;2714852008;139812193;19.417848685057105
79;3;18594;11035546784;3176949286;162291135;19.575618138353644
79;4;18599;20568971920;3141568342;159448281;19.702741994440192
79;5;18875;16645262512;2942809282;153113101;19.21983986203767
79;6;18748;12688387648;3022568871;153234770;19.72508505086672
79;7;18541;8771794416;3026000760;153026205;19.774395895134433
79;8;18601;18348787984;3296043407;165649002;19.89775590075695
79;9;19221;14293108032;3301106561;169203725;19.50965654568184
79;10;18526;10255926592;3205976282;161632422;19.834982624958748
85;0;0;10255926592;0;0;0.0
85;1;18312;19762150960;2815329870;144545337;19.47714072575029
85;2;18352;15717672784;2501872451;131818534;18.979671333622935
85;3;18447;11636235280;2721543012;140458672;19.37611236990764
85;4;18398;21110694208;2966159043;150687517;19.68417226624021
85;5;18027;17116640848;2926213964;148807811;19.664384176715025
85;6;18334;13103181744;3022582589;155369345;19.4541760409687
85;7;18205;9083621200;2918211225;146910470;19.863875086642906
85;8;18142;18584068320;3018753213;153653845;19.646454099472745
85;9;18059;14458484736;2997842572;153453187;19.535876905573815
85;10;17814;10352712896;3111178124;157352158;19.772071533966507
91;0;0;10352712896;0;0;0.0
91;1;17773;19749139472;2420311294;125374531;19.304648836532838
91;2;17856;15564330448;2866293125;146734790;19.53383464821124
91;3;17774;11370246512;2814131749;144595049;19.462158410416944
91;4;17908;20741407104;3060006857;155961835;19.62022860913377
91;5;17691;18426201120;2768043206;143792462;19.250266443035102
91;6;17761;14247359504;3030425553;153192771;19.781779082774083
91;7;17853;10088667728;2864549171;144558594;19.815834477471466
91;8;17937;19466754952;2879043907;146520047;19.649488011698494
91;9;17987;15274529104;2864387748;146973178;19.489186986213227
91;10;17973;11120925344;3020758021;153241438;19.712409779135587
97;0;0;11120925344;0;0;0.0
97;1;17950;20415726616;2913657859;149226276;19.525099312938696
97;2;17801;16204125392;3009026462;153234633;19.636725739409055
97;3;17262;12016704912;2394800038;125274458;19.11642705331042
97;4;17729;21266420400;2859335991;147098687;19.438215590598713
97;5;17453;17055122640;2733611315;140546273;19.449902559849452
97;6;17897;12872999576;2569987630;134008260;19.177830008389034
97;7;17909;8708395456;2821062014;144813255;19.480689209009217
97;8;17737;18072201856;2961818397;151297257;19.576153961601563
97;9;18086;13876565320;3039336425;155520528;19.542991938659057
97;10;17816;9664198512;3056444888;155243548;19.688063867233954
103;0;0;9664198512;0;0;0.0
103;1;18279;18939083680;2808400382;144514868;19.433297216172942
103;2;18177;14635117096;2603270052;134340972;19.378079622648553
103;3;17788;10312810872;2563975827;135167219;18.968917508023896
103;4;17693;19562283216;3061421695;155285312;19.714818198645858
103;5;17811;15222764080;2913125219;149134556;19.53353600355373
103;6;17440;10901584464;2578715150;134051501;19.236749538522513
103;7;17689;20116832984;2816516316;144899798;19.437682832380485
103;8;17669;15835490944;2963170539;151235594;19.593076342861455
103;9;17670;11553895136;2830984163;144766817;19.555477019295104
103;10;18999;20742418480;3172868024;161993653;19.586372461148216
109;0;0;20742418480;0;0;0.0
109;1;17483;16360887856;2730400802;140586128;19.42155204672825
109;2;16204;11990280816;2484172595;125911165;19.7295656425703
109;3;17296;21094089728;2531450221;130997727;19.324382788718157
109;4;17775;16714674944;2870739016;147180789;19.50484866608508
109;5;17811;12394821064;2966445907;151444409;19.58768848970846
109;6;17327;21494382672;2840208541;145171987;19.564439391464692
109;7;17343;17091040800;2964025864;151343131;19.584806025983433
109;8;17503;12789429312;2882631277;147312330;19.568160227999925
109;9;17361;8481966840;3020146378;153485080;19.677133295301406
109;10;17340;17740542704;2833096866;145149323;19.518498656724702
115;0;0;17740542704;0;0;0.0
115;1;18062;13339671488;3087427756;157807062;19.564572819941354
115;2;17603;8941038336;2266545678;120391661;18.82643414978717
115;3;17640;18086645344;2133440244;115694971;18.440215901864914
115;4;17374;13680235896;2409643791;125783279;19.157107448280147
115;5;17408;9257986552;2790263026;143115351;19.496601912397225
115;6;17289;18397454344;2462462557;127894564;19.25384848256725
115;7;17362;13985655216;2456919030;128023209;19.191200167463386
115;8;18115;9577444832;3096258133;158094517;19.58485462844989
115;9;17583;18699560432;2875915497;147154487;19.543512098275333
115;10;17203;14272892352;2933521677;149232475;19.657394792922922
121;0;0;14272892352;0;0;0.0
121;1;17823;9756313664;2958509241;151504472;19.527537385167086
121;2;17816;18795577088;1616621994;91268367;17.71284013441371
121;3;17807;14305328328;2391659162;128369409;18.631067795910784
121;4;16215;9782551920;1804126468;98036064;18.402681568284912
121;5;17492;18820753056;2582502839;134234068;19.238803363986555
121;6;17560;14325346288;2681376151;138691570;19.333375135922104
121;7;17841;9786320176;2482361462;129844234;19.11799535126065
121;8;17685;18837710616;2918984913;149341969;19.545643683056035
121;9;17779;14359281864;3014852584;153726194;19.6118339077594
121;10;17580;9842174264;2626803517;135965315;19.31965896596496
127;0;0;9842174264;0;0;0.0
127;1;17642;18829092304;3011549014;153480149;19.621749350790637
127;2;17637;14263176952;2898034395;149194865;19.424491553378864
127;3;17612;9672734224;2480484631;130650578;18.985638402610054
127;4;17869;18647909152;2916586191;149302422;19.534754707462145
127;5;17522;14107882192;2975402465;151768588;19.604863590086243
127;6;18810;9513777488;3259630324;166220449;19.61028467682698
127;7;15925;18482156592;2185636381;112953534;19.34987161180809
127;8;17268;13944061656;2975638489;151414274;19.652298362570495
127;9;17639;9352588480;2907275961;149354115;19.465656912097803
127;10;17271;18317722568;1849692439;102238257;18.091979394758265
133;0;0;18317722568;0;0;0.0
133;1;17730;13741466680;2531606571;132544127;19.100103703576394
133;2;18474;9083349464;2703804434;140867189;19.19399721960804
133;3;15872;18048770160;2475492962;125623340;19.7056770023787
133;4;16461;13443109680;2675682964;136695712;19.574008027406155
133;5;17563;8838373176;3004180206;153426806;19.580543220068076
133;6;17557;17795466288;2825862374;145257905;19.454103885086322
133;7;20484;17506391920;1775597023;99918329;17.770483561629618
133;8;16317;17947881936;2070330551;108744869;19.038420571365073
133;9;18177;9499177528;2988697280;153501222;19.47018558588413
133;10;17114;17740496384;1924357665;104601101;18.39710716811671
139;0;0;17740496384;0;0;0.0
139;1;18304;9252713936;2849918338;147627338;19.304814247886796
139;2;17389;17428531968;2774325419;143113297;19.38551816746979
139;3;15732;8849662128;2470871733;125809017;19.639862006075447
139;4;20556;15275505984;2442875675;130822077;18.67326777727279
139;5;16645;23465809696;1537885993;85902649;17.902660871377783
139;6;18209;17653533856;2420885393;128189653;18.885185631948
