ThreadPoolSize;RunNr;Runtime;Memory;L3-cacheMisses;L3-cacheReferences;L3-cache-miss-rate
1;0;0;1078598248;0;0;0.0
1;1;1100322;1063346408;21502010;138290480;0.15548438330679018
1;2;1099385;1048300680;21931490;139151205;0.15760905555938232
1;3;1102782;1033120536;21586803;138543475;0.15581248413178608
1;4;1099118;1018074808;20483390;133218446;0.15375791127303798
1;5;1100945;1003029080;22365709;139324250;0.16052990775116321
1;6;1101860;987848544;23415851;141541728;0.1654342597823873
1;7;1102429;972803208;23825830;141736296;0.1680997082074164
1;8;1101470;958055488;22650974;137967417;0.16417625619533052
1;9;1099704;943010208;23617916;141987577;0.16633790433651813
1;10;1100050;928036152;23323659;141946391;0.1643131525619415
7;0;0;928036152;0;0;0.0
7;1;158053;912582432;1571831985;2640563865;0.595263763862799
7;2;159706;897385264;1563794011;2615118685;0.5979820418743251
7;3;159110;881900856;1602499739;2657230278;0.6030714583781361
7;4;159356;866373208;1584172414;2698850318;0.5869804647684059
7;5;158522;851303344;1602512093;2724343633;0.588219515918901
7;6;158569;835794272;1594394125;2720647444;0.5860348162773567
7;7;159804;820522800;1583576962;2680078708;0.5908695730737472
7;8;158731;804749552;1566020958;2642875602;0.592544331944686
7;9;159606;789480744;1556672451;2571848384;0.6052738025633163
7;10;158945;774098672;1582037881;2669939330;0.5925370150639341
13;0;0;774098672;0;0;0.0
13;1;89784;758829888;815040903;1930204936;0.4222561489709091
13;2;89604;743128288;821555775;1939225861;0.42365141241275966
13;3;89572;727963920;822785515;1964275166;0.4188748751914934
13;4;89747;712259696;824340471;1943283466;0.4241998068849931
13;5;89982;696990888;826899896;1960201293;0.4218443784079271
13;6;89641;1933013872;820799090;1960925727;0.4185773477793736
13;7;89524;1916935128;821111536;1915839876;0.42859089962902513
13;8;89884;1901880896;814240499;1894380886;0.42981878935617596
13;9;89696;1885857496;811575969;1889445098;0.42953138456315176
13;10;89886;1869834096;815624398;1913998368;0.42613641246323153
19;0;0;1869834096;0;0;0.0
19;1;62770;1852518440;537795063;1468454748;0.3662319616811236
19;2;62579;1835202784;540923219;1471547977;0.3675878921071698
19;3;62807;1819610136;536473887;1477838340;0.36301256536624976
19;4;62573;1802509856;543313272;1477770808;0.36765733160970654
19;5;62754;1785194200;546062640;1468487757;0.3718537232585181
19;6;62769;1769601552;541933824;1501814030;0.36085281744238334
19;7;62770;1752285896;541283715;1454735319;0.37208398526550107
19;8;62769;1735077928;547460035;1484198136;0.3688591312177743
19;9;62798;1717762272;541957450;1452760814;0.3730534612286149
19;10;62862;1702169624;540274402;1494206876;0.36157938413877305
25;0;0;1702169624;0;0;0.0
25;1;47842;1685823128;384145690;1228345934;0.31273412429433745
25;2;47856;1668615160;386024322;1238291724;0.31173940237042236
25;3;47852;1653124672;381963843;1238875417;0.30831497482204057
25;4;47849;1635383792;388333477;1234969473;0.3144478349385078
25;5;47871;1619893304;378290269;1237131836;0.30578007775074345
25;6;47862;1603546840;379941796;1241152084;0.30612025786196884
25;7;47857;1586769624;372169813;1247505454;0.2983312111435466
25;8;47867;1569561656;377594436;1229660674;0.3070720597835432
25;9;47852;1554076696;385986494;1241325048;0.3109471565259191
25;10;47859;1536868728;381344839;1230498905;0.3099107503878681
31;0;0;1536868728;0;0;0.0
31;1;38578;1519032328;312012062;1008281065;0.30944949065368
31;2;38574;1502883544;311336495;1006389034;0.30935998354687955
31;3;38579;1485783208;314770026;1011748401;0.31111492312603123
