ThreadPoolSize;RunNr;Runtime;Memory;L2-cacheMisses;L2-cacheReferences;L2-cache-miss-rate
1;0;0;30178950568;0;0;0.0
1;1;1712023;29638917632;243794688245;12068054453;20.20165629799549
1;2;1712446;27711097840;244039869584;12059225355;20.23677826725546
1;3;1757714;30719592736;244012022830;12010748247;20.31613832976213
1;4;1714428;29141976208;243897597791;12100890597;20.15534276885918
1;5;1773765;24943117248;243955177869;12041933715;20.258804245460837
1;6;2121991;25390894736;243938674356;12201594925;19.992359675552827
1;7;1908696;20714889232;243886658419;12156771500;20.06179505956824
1;8;1698454;23204068272;244003372950;12027588968;20.28697302503296
1;9;1711548;24809443376;244060193350;12028632425;20.28993693769805
1;10;1726933;29201214560;243993970684;12042113093;20.261723901748777
7;0;0;29201214560;0;0;0.0
7;1;198736;23689537920;7037636228;375082979;18.762878141692482
7;2;196710;29094485744;5723401906;312374519;18.32224319807596
7;3;194605;27948593232;9188003730;482523396;19.04157146817395
7;4;194991;27811602960;9147329300;481281743;19.006183868478885
7;5;194782;27668795328;5816354841;316969905;18.349864606231307
7;6;192429;27523505232;9652661584;505497888;19.09535492263026
7;7;191420;27383750448;8986545156;472666176;19.012456596851983
7;8;195344;27242933280;6863256899;361650044;18.977619422051003
7;9;192318;27097086992;9670719037;499651166;19.35494139725474
7;10;195476;26960431152;9404267588;490043408;19.190682773147312
13;0;0;26960431152;0;0;0.0
13;1;100475;26765284224;4657944728;240332469;19.38125442384566
13;2;104902;26562926640;4491184910;239464421;18.75512400232517
13;3;100281;26376131824;5376481397;278657971;19.294195596507805
13;4;102018;26174728208;3858673031;203342014;18.976270349127162
13;5;102933;25970232176;3266336031;175906052;18.56863930412127
13;6;100854;25767116304;4191778098;217763447;19.24922734163002
13;7;102741;25577888352;3435929569;185601011;18.512450716122448
13;8;102353;25360582768;4271812338;222840484;19.16982166489999
13;9;99978;25171807744;5797931649;293677903;19.742485184525442
13;10;102994;24980082112;3724855066;197061435;18.9019990948508
19;0;0;24980082112;0;0;0.0
19;1;70417;24710852720;2706995242;144523232;18.730519685582454
19;2;68706;24440485920;3979966489;203934457;19.515909903347033
19;3;69393;24178126736;4060882413;210932436;19.25205288483939
19;4;68743;23896142544;3430493188;178758253;19.19068423654823
19;5;69685;23629083632;2792943859;145726768;19.16561999783046
19;6;68807;23368850512;2670205118;140165403;19.050386620726943
19;7;69818;23096967200;3385622790;175499953;19.291303115049836
19;8;68726;22822199552;3639207604;187000312;19.460970760305468
19;9;70313;22559796336;3177237552;168394984;18.867768365357012
19;10;69308;22288293568;3381700055;172860173;19.5632110989499
25;0;0;22288293568;0;0;0.0
25;1;53440;21939982976;2160098281;114743780;18.825406318320695
25;2;52465;21598220720;1864677564;98584082;18.914590734840946
25;3;53534;21266869952;2201518283;117463835;18.742094390158467
25;4;52501;20920941792;2159829111;112822012;19.1436854627269
25;5;52700;20591991504;2791327130;143910391;19.396286193121384
25;6;52374;20248252592;2409736195;125568189;19.19065819289629
25;7;53275;19915926672;1991506775;108081500;18.425972761295874
25;8;52297;19575158000;2700856468;138476150;19.504127375002845
25;9;52781;19232500256;2496330159;129973004;19.206528141797815
25;10;52676;18886074432;2455840533;127254547;19.29864661731891
31;0;0;18886074432;0;0;0.0
31;1;41868;18472120368;2328846737;119548369;19.48037230855069
31;2;43075;18093248048;1692499441;90884275;18.62257734905186
31;3;42150;17711488320;2073504383;106485291;19.472214082600384
31;4;42278;17320841264;2326172864;118964440;19.553514176168946
31;5;43033;16913735888;2326430579;121511804;19.145716732178546
31;6;42297;16536702624;1860870025;95256899;19.535278226934512
31;7;42110;16153603728;1778852170;92925530;19.142771313760598
31;8;42836;15745636192;2328565449;121972157;19.09095900468498
31;9;42070;15343028384;2370488529;121673422;19.48238563554167
31;10;42274;14963338192;1986710797;101405679;19.59171139714966
37;0;0;14963338192;0;0;0.0
37;1;35415;14481997136;2112923034;106671828;19.80769499890824
37;2;36146;14047783856;1651936874;86898389;19.009982728218358
37;3;35215;13620996288;1987302542;100755899;19.723932412135987
37;4;35524;13202399376;2073048087;104901224;19.761905609414054
37;5;35609;12719004768;1522318425;80163718;18.99011751176511
37;6;35585;12292131504;1399192520;73537937;19.026812242502807
37;7;35436;11858023952;1688706527;87402427;19.32104845326549
37;8;35363;30635972320;1566718135;80983410;19.346161578031847
37;9;36083;30212383072;1567827724;83643752;18.744110426801512
37;10;35321;29784722080;1736909609;89483085;19.410479745976573
43;0;0;29784722080;0;0;0.0
43;1;30652;29240690784;1563514199;80594102;19.399858801081994
43;2;30611;28735775056;1647604103;84738843;19.443316012705058
43;3;30671;28282711952;1516876370;78209381;19.395069371537414
43;4;30541;27760170272;1355527241;70252350;19.295115978326702
43;5;30337;27221109168;1480204422;76038930;19.46640256510711
43;6;31123;26685213488;1566448604;82176128;19.062088250251946
43;7;30537;26231145504;1227955964;64950929;18.90590300871601
43;8;30304;25682084704;1479963856;75999688;19.473288574553095
43;9;30687;25145042400;1522925721;78219441;19.469913125561714
43;10;30994;24633308448;1355772766;73268573;18.504151377426172
49;0;0;24633308448;0;0;0.0
49;1;26796;23992545840;1255708086;65675626;19.119849516166013
49;2;26837;23390387504;1221243509;63420892;19.25617049031729
49;3;26982;22771861584;1477985807;75493079;19.57776562537607
49;4;26762;22132574848;1226473424;63463295;19.325712981023127
49;5;27600;21530478592;1270078441;68907108;18.431747868449218
49;6;26872;20917812240;1563624222;79406030;19.691504813929118
49;7;26713;20278901264;1394227639;71612370;19.4690894743464
49;8;26759;19643095952;1227441333;63404214;19.35898665978258
49;9;27547;19051649184;1394773035;74475458;18.727955120463978
49;10;26651;18453820272;1435526371;73766829;19.460323704574584
55;0;0;18453820272;0;0;0.0
55;1;23900;17799739040;1604933363;81123358;19.78386253438868
55;2;24019;17154150864;1730578700;87478995;19.782791286068157
55;3;24302;16539714200;1181939397;61367479;19.260028540523884
55;4;24673;15868113200;1217944464;67147862;18.13824636739737
55;5;23920;15234218928;1181390501;61054687;19.349710219626544
55;6;23866;14613988080;1303675284;67622384;19.27875367422716
55;7;24187;14027200384;1604418659;80837198;19.847529339153986
55;8;24346;13389291936;1644891184;83406821;19.721302937561905
55;9;24641;12730513456;1267550078;65694548;19.29460079396543
55;10;24358;12086884624;1182939030;61197182;19.329959180146563
61;0;0;12086884624;0;0;0.0
61;1;21936;30615381680;1134838518;59050463;19.218113802088226
61;2;22190;29999776800;1137041676;59016617;19.266466527554435
61;3;22200;29368809536;1221892240;62720932;19.481410767301735
61;4;22761;28680750160;1221193817;65168172;18.739114195193324
61;5;21687;27982970032;1477156485;74870428;19.729505018990942
61;6;22192;27389500912;1432378740;72603263;19.728847999572693
61;7;22242;26795940992;1562344576;78679058;19.857184563648435
61;8;22178;26131503952;1054193967;55037181;19.15421443914433
61;9;22592;25446991616;1224492173;63930094;19.15361133365454
61;10;22130;24765815216;1211570400;62726750;19.31505139354422
67;0;0;24765815216;0;0;0.0
67;1;20794;23948261888;1011578168;52335476;19.32872776393588
67;2;20876;23183732256;1306654754;66838882;19.549320917725705
67;3;20885;22387273360;1096097502;56501835;19.399325738712733
67;4;20704;21597389568;1175534802;61084743;19.244327540184624
67;5;21938;20847461952;1133110765;61145551;18.531368946205095
67;6;20743;20049848576;1048123276;54268972;19.313490515353784
67;7;20850;19264196000;1303658372;66696862;19.54602259998379
67;8;21260;18472309024;1007982917;52770834;19.101136756716787
67;9;20863;17674675584;1262974900;64770693;19.499172256810652
67;10;20888;16897257856;1219571755;62609556;19.479003412833656
73;0;0;16897257856;0;0;0.0
73;1;19704;16103315392;1090435814;56584096;19.271065389115698
73;2;20203;15330349392;1053120532;56760370;18.553799631679638
73;3;20127;14581209328;1301695463;67241411;19.35853878795018
73;4;20054;13741761440;969928129;50368943;19.25647177070998
73;5;19664;12921159040;1304190841;66462234;19.623036460074452
73;6;20845;12143069312;845348616;45025529;18.77487360559384
73;7;21315;14295892864;1131636419;61563646;18.381569197509844
73;8;20635;13468140320;1005212811;52816652;19.032119093803978
73;9;20255;12664853408;967638732;50455124;19.17820540883023
73;10;20129;11933334216;1250565220;64573704;19.366478032605965
79;0;0;11933334216;0;0;0.0
79;1;19251;30239633136;841385672;44589560;18.86956659810054
79;2;19515;29390362560;1136688448;58392177;19.46645092543818
79;3;19135;28482079984;1029948595;56097307;18.360036338286257
79;4;19745;27562063968;970247211;50554316;19.192173641514604
79;5;19138;26688374736;1046081195;54593960;19.16111590000066
79;6;19132;25831527200;1136648566;58535028;19.41826295871935
79;7;19751;24941814272;1091579475;56421468;19.346881846463123
79;8;19229;24017078616;1128686370;58308506;19.35714782333816
79;9;19517;23107235824;1091160249;56289334;19.384849161654675
79;10;19483;22303917264;1122480986;60492907;18.555580177358646
85;0;0;22303917264;0;0;0.0
85;1;18509;21378162720;1174965565;60299737;19.485417739052494
85;2;18460;20464753232;1035689301;55475009;18.669475132487136
85;3;18398;19532939856;1157860309;60096853;19.266571396009706
85;4;18733;18592354128;1145692032;59801825;19.15814495627851
85;5;19167;17702420720;1023129555;56871966;17.990050757169183
85;6;18996;16767856168;1092299255;56279190;19.408581662244963
85;7;19613;15788167064;1129983763;58827463;19.208439483443303
85;8;18866;14872628096;1049859887;54275105;19.343304577669635
85;9;18777;13927471728;953612738;49888961;19.11470431304432
85;10;19273;13040630800;925102119;48279263;19.161479722670993
91;0;0;13040630800;0;0;0.0
91;1;18660;12102543248;955916484;51935803;18.405732246019188
91;2;18903;30285369136;1026124226;55917201;18.350779503430438
91;3;18256;29357954080;1129417873;58680200;19.247001083840885
91;4;18959;28383549344;958314605;50121681;19.11976186512978
91;5;19013;27363029160;964222508;50243466;19.191003025149577
91;6;19191;26381452144;1006589609;52499616;19.17327564833998
91;7;18073;25455063200;1091974316;56008464;19.496594586132552
91;8;19329;24527275776;886052389;46805259;18.930616087393087
91;9;19048;23517531872;1100347971;60058411;18.321296762247005
91;10;18285;22512688096;882441250;49110435;17.968508118488465
97;0;0;22512688096;0;0;0.0
97;1;18029;21509283120;895222111;47569986;18.81905348889529
97;2;18384;20503377832;963376681;51637764;18.656436808534156
97;3;18341;19460035872;957509335;51531791;18.580944236927454
97;4;18553;18445770544;823601652;45448053;18.121824756717302
97;5;18199;17409600720;968134318;53969677;17.938486420809966
97;6;17253;16373150312;700370679;40213232;17.416423504581775
97;7;18141;15350534744;988487972;53151191;18.59766363466813
97;8;18244;14282040736;971375352;51891743;18.719266223144597
97;9;18371;13249927712;939010416;50921045;18.44051739315248
97;10;18424;12264007632;874831651;48914941;17.884753269967145
103;0;0;12264007632;0;0;0.0
103;1;18250;30283840800;916490806;50905311;18.003834727578816
103;2;18264;29237558176;882101687;47341951;18.632558827159446
103;3;18172;28179746448;885219128;47636311;18.582864823432697
103;4;17628;27070552848;1001455459;54676953;18.3158607795866
103;5;18437;26012115312;766484356;44605900;17.183474742130525
103;6;19104;24980769280;952513600;50166949;18.98687520343324
103;7;18063;23851248048;799777331;45038761;17.75753402719049
103;8;16764;22747825856;789665238;43394752;18.19725200872216
103;9;16831;21588144080;825621943;45206589;18.263309868391087
103;10;18263;20505173392;969250798;51503640;18.819073719838055
109;0;0;20505173392;0;0;0.0
109;1;20910;24853042800;982353822;55342883;17.750318898276404
109;2;18238;23670204096;933059419;51269039;18.1992765458311
109;3;18213;22481165840;1123769749;57904029;19.407453477891842
109;4;18034;21324761840;1051525764;55434546;18.968781019691225
109;5;17799;20187167952;1016450538;53640239;18.949403599786347
109;6;18306;19038679936;1064088862;56300643;18.90011916915407
109;7;18175;17900819888;760515776;45779840;16.61246033188408
109;8;17947;16671296896;911292689;48861793;18.65041442502939
109;9;18470;15512073600;1047841383;56047034;18.69575084026748
109;10;18150;14352836960;1087812436;56043332;19.410202733841736
115;0;0;14352836960;0;0;0.0
115;1;17552;13181569560;997364585;51900103;19.217005889179063
115;2;18101;12052642720;1173531960;60139165;19.513605817440265
115;3;16569;29965920960;508562028;32293802;15.74797628349861
115;4;18704;28833112512;802494287;42973393;18.674212832112186
115;5;17998;27606261536;959355225;53634328;17.88696271164244
115;6;18048;26420673536;1160557294;60153360;19.29330787174648
115;7;18341;25247993152;1121801819;58791496;19.081021836899676
115;8;18321;23987440704;1091572162;56676275;19.25977248857657
115;9;18062;22712224712;1138011332;58351398;19.502726087213883
115;10;16634;21523125952;742352128;42406515;17.505615068816667
121;0;0;21523125952;0;0;0.0
121;1;17864;20238689392;1062759659;57510283;18.47947190591985
121;2;18674;19038779032;1086882090;56261572;19.318374004906936
121;3;18155;17756835528;1090900662;56314492;19.37157955717686
121;4;18801;16464436616;803242110;43010279;18.6755847363836
121;5;17559;15237407016;791354102;42265052;18.72360412569704
121;6;18184;13975715928;968260878;52847369;18.321836948969022
121;7;18176;12758870272;995016577;55021042;18.084291769683315
121;8;17816;11593223184;833762406;46961855;17.75403475863549
121;9;18620;19994030032;915668046;49548156;18.480365767799714
121;10;18842;18773257272;1039318722;54419796;19.098173796902877
127;0;0;18773257272;0;0;0.0
