ThreadPoolSize;RunNr;Runtime;Memory;L2-cacheMisses;L2-cacheReferences;L2-cache-miss-rate
1;0;0;25000249088;0;0;0.0
1;1;3440479;31788184024;14368911171;4194846461;3.425372371692152
1;2;3682048;31787774920;14476358995;4302284598;3.364807386691623
1;3;3715008;31787369944;14504542759;4327144558;3.3519894157878514
1;4;3664522;31786948568;14465375125;4177820853;3.4624211123396393
1;5;3629646;31786818520;14427134678;4155425762;3.471878816830611
1;6;3682326;31786430424;14457045464;4158987946;3.4760969860238204
1;7;3666533;31786029528;14439050974;4154570736;3.475461579913271
1;8;3717685;31785604056;14485957406;4199761244;3.449233555049207
1;9;3700223;31785186776;14495018235;4245912365;3.4138759797507032
1;10;3605388;31784792536;14435650411;4235287103;3.4084231033062036
7;0;0;31784792536;0;0;0.0
7;1;514880;31774473072;995903455;282635633;3.5236302104908335
7;2;541369;31755100528;1011517223;294494009;3.4347633299392517
7;3;524220;31775555968;1008515396;294738999;3.42172362470431
7;4;447914;31737383248;1018025040;294878880;3.452349791887435
7;5;451714;31703572320;1013472612;289946011;3.4953838768280208
7;6;537531;31774441808;1175139594;346900399;3.3875417767968607
7;7;495593;31773956464;1013160011;294826717;3.43645929144203
7;8;438574;31742050688;979193980;277795811;3.5248694948823402
7;9;543421;31754184560;1185400748;354101528;3.34762957588819
7;10;547779;31770391920;993900109;292412580;3.398964945352214
13;0;0;31770391920;0;0;0.0
13;1;289958;31732036384;517872648;147689025;3.5065073251042183
13;2;314087;31743846176;524811714;151463166;3.464946150670058
13;3;305932;31761838368;505924538;143159268;3.533997798871115
13;4;286925;31668907824;528116277;150438611;3.5105101907647898
13;5;293762;31716452624;525841232;148065355;3.5514130364932432
13;6;306927;31759512832;504048468;142458859;3.5382037420361483
13;7;315165;31758527776;518752890;148253161;3.499101715611986
13;8;310720;31757612256;516244573;147464606;3.5008032571558223
13;9;290165;31708625104;511132188;143392606;3.5645644657577393
13;10;255978;31756412656;518140133;145746019;3.5550894395269896
19;0;0;31756412656;0;0;0.0
19;1;185980;31630137520;364385240;101773561;3.580352661532596
19;2;203845;31608443072;356760881;101437707;3.5170440219040047
19;3;185648;31670904512;358750691;102457468;3.501459659338839
19;4;189060;31687228656;373786498;106695282;3.5033085905335533
19;5;170093;31737119968;352903929;96273347;3.6656451655306013
19;6;209871;31744927936;379123626;104712065;3.6206298290459653
19;7;214272;31744202448;358213634;102126224;3.5075578041542004
19;8;209605;31630232256;363715527;105687383;3.4414280747210855
19;9;212786;31629497584;359649102;103473743;3.4757523171844666
19;10;182453;31742286576;354678469;102545106;3.4587556913735114
25;0;0;31742286576;0;0;0.0
25;1;142126;31733443408;264751985;77784995;3.4036382595383596
25;2;152931;31707745424;277249285;81085155;3.4192360488180604
25;3;156073;31732413712;287260690;84011535;3.419300575807834
25;4;148673;31595621056;279780993;83147266;3.364885058277202
25;5;145194;31620309088;277665708;82740074;3.355879377144381
25;6;148489;31668078224;295922614;85275272;3.4702042814944054
25;7;148528;31504043152;288775134;85926713;3.3607143101121535
25;8;150265;31721672336;291840888;86513686;3.373349368098823
25;9;151013;31687666304;288035784;84804093;3.396484459777195
25;10;169975;31729168176;286353277;82496660;3.4710893386471646
31;0;0;31729168176;0;0;0.0
31;1;142553;31648912000;234484765;68082927;3.444105230669651
31;2;151718;31664882208;232246091;67701700;3.430432190033633
